date,rank,stock_code,stock_name,market,price,source_updated_at,collected_at,previous_rank,rank_change,new_entry,rank_history_3d,rank_history_5d,consecutive_days,best_rank
2026-09-15,1,285A,キオクシアホールディングス(株),東証PRM,50590.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,1,0,False,2026-09-13:1 > 2026-09-14:1 > 2026-09-15:1,2026-09-11:1 > 2026-09-12:1 > 2026-09-13:1 > 2026-09-14:1 > 2026-09-15:1,5,1
2026-09-15,2,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,20310.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,9,7,False,2026-09-13:10 > 2026-09-14:9 > 2026-09-15:2,2026-09-11:10 > 2026-09-12:9 > 2026-09-13:10 > 2026-09-14:9 > 2026-09-15:2,5,2
2026-09-15,3,9984,ソフトバンクグループ(株),東証PRM,5839.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,2,-1,False,2026-09-13:4 > 2026-09-14:2 > 2026-09-15:3,2026-09-11:2 > 2026-09-12:2 > 2026-09-13:4 > 2026-09-14:2 > 2026-09-15:3,5,2
2026-09-15,4,6203,豊和工業(株),東証STD,2344.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,7,3,False,2026-09-13:12 > 2026-09-14:7 > 2026-09-15:4,2026-09-11:9 > 2026-09-12:3 > 2026-09-13:12 > 2026-09-14:7 > 2026-09-15:4,5,3
2026-09-15,5,5803,(株)フジクラ,東証PRM,4834.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,4,-1,False,2026-09-13:14 > 2026-09-14:4 > 2026-09-15:5,2026-09-11:6 > 2026-09-12:8 > 2026-09-13:14 > 2026-09-14:4 > 2026-09-15:5,5,4
2026-09-15,6,4588,オンコリスバイオファーマ(株),東証GRT,6160.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,19,13,False,2026-09-13:13 > 2026-09-14:19 > 2026-09-15:6,2026-09-11:8 > 2026-09-12:10 > 2026-09-13:13 > 2026-09-14:19 > 2026-09-15:6,5,6
2026-09-15,7,5016,ＪＸ金属(株),東証PRM,3617.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,6,-1,False,2026-09-13:7 > 2026-09-14:6 > 2026-09-15:7,2026-09-11:7 > 2026-09-12:12 > 2026-09-13:7 > 2026-09-14:6 > 2026-09-15:7,5,6
2026-09-15,8,3350,(株)メタプラネット,東証STD,247.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,5,-3,False,2026-09-13:2 > 2026-09-14:5 > 2026-09-15:8,2026-09-11:14 > 2026-09-12:6 > 2026-09-13:2 > 2026-09-14:5 > 2026-09-15:8,5,2
2026-09-15,9,485A,(株)パワーエックス,東証GRT,2267.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,15,6,False,2026-09-13:15 > 2026-09-14:15 > 2026-09-15:9,2026-09-11:4 > 2026-09-12:5 > 2026-09-13:15 > 2026-09-14:15 > 2026-09-15:9,5,4
2026-09-15,10,593A,(株)ティアフォー,東証GRT,2138.0,2026-09-15T07:12:00+09:00,2026-09-15T08:10:08.320467+09:00,8,-2,False,2026-09-13:3 > 2026-09-14:8 > 2026-09-15:10,2026-09-11:3 > 2026-09-12:4 > 2026-09-13:3 > 2026-09-14:8 > 2026-09-15:10,5,3
