date,stock_code,stock_name,market,previous_rank,consecutive_days_before_exit,best_rank,exited_ranking
2026-09-12,3070,(株)ジェリービーンズグループ,東証GRT,53,1,53,True
2026-09-12,3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ(株),東証STD,66,1,66,True
2026-09-12,8783,ａｂｃ(株),東証STD,71,1,71,True
2026-09-12,6920,レーザーテック(株),東証PRM,86,1,86,True
2026-09-12,464A,(株)ＱＰＳホールディングス,東証GRT,87,1,87,True
2026-09-12,6993,大黒屋ホールディングス(株),東証STD,88,1,88,True
2026-09-12,1540,純金上場信託(現物国内保管型),東証ETF,92,1,92,True
2026-09-12,6506,(株)安川電機,東証PRM,95,1,95,True
2026-09-12,3687,(株)フィックスターズ,東証PRM,96,1,96,True
2026-09-13,6081,アライドアーキテクツ(株),東証GRT,29,2,29,True
2026-09-13,5706,三井金属(株),東証PRM,53,2,49,True
2026-09-13,350A,デジタルグリッド(株),東証GRT,66,2,33,True
2026-09-13,6208,(株)石川製作所,東証STD,68,2,68,True
2026-09-13,4274,細谷火工(株),東証STD,69,2,69,True
2026-09-13,4392,ＦＩＧ(株),東証PRM,73,2,60,True
2026-09-13,4381,ビープラッツ(株),東証GRT,76,2,76,True
2026-09-13,6966,(株)三井ハイテック,東証PRM,77,2,68,True
2026-09-13,6232,(株)ＡＣＳＬ,東証GRT,80,2,79,True
2026-09-13,9166,(株)ＧＥＮＤＡ,東証GRT,81,1,81,True
2026-09-13,6085,アーキテクツ・スタジオ・ジャパン(株),東証GRT,82,2,82,True
2026-09-13,7709,クボテック(株),東証STD,83,2,83,True
2026-09-13,6336,(株)石井表記,東証STD,84,2,84,True
2026-09-13,4075,ブレインズテクノロジー(株),東証GRT,85,1,85,True
2026-09-13,5713,住友金属鉱山(株),東証PRM,86,2,70,True
2026-09-13,581A,ＧＯ(株),東証GRT,88,2,74,True
2026-09-13,3664,(株)ＷＩＺＥ,東証GRT,89,1,89,True
2026-09-13,2321,(株)ソフトフロントホールディングス,東証GRT,92,2,67,True
2026-09-13,6227,ＡＩメカテック(株),東証STD,93,1,93,True
2026-09-13,5131,リンカーズ(株),東証GRT,94,1,94,True
2026-09-13,2330,(株)フォーサイド,東証STD,97,2,76,True
