date,rank,stock_code,stock_name,market,price,source_updated_at,collected_at
2026-09-19,1,285A,キオクシアホールディングス(株),東証PRM,54570.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,2,3905,データセクション(株),東証GRT,1542.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,3,9984,ソフトバンクグループ(株),東証PRM,6315.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,4,5016,ＪＸ金属(株),東証PRM,3574.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,5,8306,(株)三菱ＵＦＪフィナンシャル・グループ,東証PRM,3620.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,6,3350,(株)メタプラネット,東証STD,243.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,7,485A,(株)パワーエックス,東証GRT,2404.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,8,5721,エスクリプトエナジー(株),東証STD,54.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,9,4588,オンコリスバイオファーマ(株),東証GRT,6770.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,10,3103,ユニチカ(株),東証STD,1518.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,11,6740,(株)ジャパンディスプレイ,東証PRM,49.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,12,593A,(株)ティアフォー,東証GRT,1977.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,13,627A,ａｋｉｐｐａ(株),東証STD,1037.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,14,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,19740.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,15,5803,(株)フジクラ,東証PRM,4952.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,16,3260,(株)エスポア,名証NXT,70.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,17,2160,(株)ジーエヌアイグループ,東証GRT,3250.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,18,6203,豊和工業(株),東証STD,2538.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,19,6976,太陽誘電(株),東証PRM,9375.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,20,4875,メディシノバ,東証STD外国,485.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,21,8316,(株)三井住友フィナンシャルグループ,東証PRM,6830.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
2026-09-19,22,4594,ブライトパス・バイオ(株),東証GRT,61.0,2026-09-19T09:12:00+09:00,2026-09-19T09:25:05.247804+09:00
