theme_name,cluster,topix17_group,stock_code,yahoo_ticker,company_name,short_name,market,source_url
半導体,AI・半導体,電機・精密,167A,167A.T,リョー菱ＨＤ,リョー菱ＨＤ,東P,https://s.kabutan.jp/stocks/167A/
半導体,AI・半導体,電機・精密,2676,2676.T,高千穂交易,高千穂交易,東P,https://s.kabutan.jp/stocks/2676/
半導体,AI・半導体,電機・精密,2760,2760.T,東エレデバ,東エレデバ,東P,https://s.kabutan.jp/stocks/2760/
半導体,AI・半導体,電機・精密,280A,280A.T,ＴＭＨ,ＴＭＨ,東G,https://s.kabutan.jp/stocks/280A/
半導体,AI・半導体,電機・精密,285A,285A.T,キオクシア,キオクシア,東P,https://s.kabutan.jp/stocks/285A/
半導体,AI・半導体,電機・精密,287A,287A.T,黒田グループ,黒田グループ,東S,https://s.kabutan.jp/stocks/287A/
半導体,AI・半導体,電機・精密,2962,2962.T,テクニスコ,テクニスコ,東S,https://s.kabutan.jp/stocks/2962/
半導体,AI・半導体,電機・精密,3105,3105.T,日清紡ＨＤ,日清紡ＨＤ,東P,https://s.kabutan.jp/stocks/3105/
半導体,AI・半導体,電機・精密,3106,3106.T,クラボウ,クラボウ,東P,https://s.kabutan.jp/stocks/3106/
半導体,AI・半導体,電機・精密,3132,3132.T,マクニカＨＤ,マクニカＨＤ,東P,https://s.kabutan.jp/stocks/3132/
半導体,AI・半導体,電機・精密,3156,3156.T,レスター,レスター,東P,https://s.kabutan.jp/stocks/3156/
半導体,AI・半導体,電機・精密,3321,3321.T,ミタチ産業,ミタチ産業,東S,https://s.kabutan.jp/stocks/3321/
半導体,AI・半導体,電機・精密,3436,3436.T,ＳＵＭＣＯ,ＳＵＭＣＯ,東P,https://s.kabutan.jp/stocks/3436/
半導体,AI・半導体,電機・精密,3445,3445.T,ＲＳテクノ,ＲＳテクノ,東P,https://s.kabutan.jp/stocks/3445/
半導体,AI・半導体,電機・精密,3652,3652.T,ＤＭＰ,ＤＭＰ,東G,https://s.kabutan.jp/stocks/3652/
半導体,AI・半導体,電機・精密,3841,3841.T,ジーダット,ジーダット,東S,https://s.kabutan.jp/stocks/3841/
半導体,AI・半導体,電機・精密,3918,3918.T,ＰＣＩＨＤ,ＰＣＩＨＤ,東S,https://s.kabutan.jp/stocks/3918/
半導体,AI・半導体,電機・精密,4055,4055.T,Ｔ＆Ｓ・Ｇ,Ｔ＆Ｓ・Ｇ,東G,https://s.kabutan.jp/stocks/4055/
半導体,AI・半導体,電機・精密,4062,4062.T,イビデン,イビデン,東P,https://s.kabutan.jp/stocks/4062/
半導体,AI・半導体,電機・精密,4063,4063.T,信越化,信越化,東P,https://s.kabutan.jp/stocks/4063/
半導体,AI・半導体,電機・精密,4124,4124.T,大阪油化,大阪油化,東S,https://s.kabutan.jp/stocks/4124/
半導体,AI・半導体,電機・精密,4186,4186.T,東応化,東応化,東P,https://s.kabutan.jp/stocks/4186/
半導体,AI・半導体,電機・精密,4187,4187.T,大有機,大有機,東P,https://s.kabutan.jp/stocks/4187/
