date,Open,High,Low,Close
2026-02-03 09:00:00+09:00,3577.54,3650.51,3575.0,3645.84
2026-02-04 09:00:00+09:00,3636.87,3659.17,3621.69,3655.58
2026-02-05 09:00:00+09:00,3668.08,3686.09,3638.62,3652.41
2026-02-06 09:00:00+09:00,3635.0,3699.0,3613.47,3699.0
2026-02-09 09:00:00+09:00,3756.21,3825.67,3752.74,3783.57
2026-02-10 09:00:00+09:00,3809.22,3863.9,3808.45,3855.28
2026-02-12 09:00:00+09:00,3855.98,3888.94,3850.02,3882.16
2026-02-13 09:00:00+09:00,3861.27,3871.83,3815.48,3818.85
2026-02-16 09:00:00+09:00,3824.12,3828.34,3784.53,3787.38
2026-02-17 09:00:00+09:00,3781.43,3794.94,3746.33,3761.55
2026-02-18 09:00:00+09:00,3783.75,3817.33,3783.32,3807.25
2026-02-19 09:00:00+09:00,3822.19,3858.5,3814.94,3852.09
2026-02-20 09:00:00+09:00,3821.0,3821.0,3794.9,3808.48
2026-02-24 09:00:00+09:00,3806.15,3824.46,3792.28,3815.98
2026-02-25 09:00:00+09:00,3829.76,3861.42,3808.16,3843.16
2026-02-26 09:00:00+09:00,3875.54,3903.35,3873.8,3880.34
2026-02-27 09:00:00+09:00,3878.86,3938.68,3876.87,3938.68
2026-03-02 09:00:00+09:00,3882.67,3898.42,3824.0,3898.42
2026-03-03 09:00:00+09:00,3867.37,3873.59,3763.43,3772.17
2026-03-04 09:00:00+09:00,3718.32,3723.37,3589.25,3633.67
2026-03-05 09:00:00+09:00,3695.75,3777.3,3681.9,3702.67
2026-03-06 09:00:00+09:00,3667.6,3721.11,3652.16,3716.93
2026-03-09 09:00:00+09:00,3649.48,3649.48,3492.76,3575.84
2026-03-10 09:00:00+09:00,3625.03,3691.92,3619.42,3664.28
2026-03-11 09:00:00+09:00,3703.57,3741.16,3694.34,3698.85
2026-03-12 09:00:00+09:00,3660.74,3666.53,3615.43,3649.85
2026-03-13 09:00:00+09:00,3597.42,3648.13,3586.78,3629.03
2026-03-16 09:00:00+09:00,3618.19,3638.92,3586.09,3610.73
2026-03-17 09:00:00+09:00,3647.32,3670.47,3612.72,3627.07
2026-03-18 09:00:00+09:00,3653.17,3717.58,3653.17,3717.41
2026-03-19 09:00:00+09:00,3657.25,3661.64,3608.99,3609.4
2026-03-23 09:00:00+09:00,3551.3,3551.3,3447.34,3486.44
2026-03-24 09:00:00+09:00,3544.42,3575.33,3524.01,3559.67
2026-03-25 09:00:00+09:00,3612.98,3660.47,3612.86,3650.99
2026-03-26 09:00:00+09:00,3658.72,3673.33,3611.09,3642.8
