date,Open,High,Low,Close
2026-02-03 09:00:00+09:00,708.2,716.58,706.74,715.44
2026-02-04 09:00:00+09:00,712.68,712.68,704.75,710.08
2026-02-05 09:00:00+09:00,708.15,720.58,706.47,712.01
2026-02-06 09:00:00+09:00,706.65,710.62,694.23,710.62
2026-02-09 09:00:00+09:00,718.27,719.09,712.71,714.96
2026-02-10 09:00:00+09:00,718.03,734.19,718.03,733.09
2026-02-12 09:00:00+09:00,732.16,739.8,731.6,735.65
2026-02-13 09:00:00+09:00,731.26,734.54,720.02,722.48
2026-02-16 09:00:00+09:00,726.25,742.72,725.83,742.72
2026-02-17 09:00:00+09:00,742.25,747.4,733.54,739.93
2026-02-18 09:00:00+09:00,743.09,763.95,741.81,759.29
2026-02-19 09:00:00+09:00,759.88,761.69,750.76,760.63
2026-02-20 09:00:00+09:00,760.63,764.96,745.01,745.89
2026-02-24 09:00:00+09:00,743.76,744.45,728.94,728.94
2026-02-25 09:00:00+09:00,732.89,744.84,732.89,735.47
2026-02-26 09:00:00+09:00,741.39,751.23,741.17,749.03
2026-02-27 09:00:00+09:00,754.18,777.7,754.18,777.7
2026-03-02 09:00:00+09:00,767.03,772.59,757.15,768.64
2026-03-03 09:00:00+09:00,768.26,775.06,744.18,744.33
2026-03-04 09:00:00+09:00,734.51,744.82,702.89,713.2
2026-03-05 09:00:00+09:00,726.6,761.05,726.6,749.61
2026-03-06 09:00:00+09:00,747.07,771.62,746.28,770.8
2026-03-09 09:00:00+09:00,755.75,755.78,720.5,743.09
2026-03-10 09:00:00+09:00,751.02,772.68,751.02,772.53
2026-03-11 09:00:00+09:00,774.29,788.08,773.93,780.04
2026-03-12 09:00:00+09:00,772.81,772.81,755.98,761.15
2026-03-13 09:00:00+09:00,752.72,765.11,749.36,757.51
2026-03-16 09:00:00+09:00,756.24,768.57,755.97,763.1
2026-03-17 09:00:00+09:00,768.56,774.03,747.96,750.72
2026-03-18 09:00:00+09:00,757.79,778.71,757.4,778.71
2026-03-19 09:00:00+09:00,767.18,767.18,743.39,744.86
2026-03-23 09:00:00+09:00,732.21,732.21,704.2,705.16
2026-03-24 09:00:00+09:00,718.19,729.9,711.18,724.55
2026-03-25 09:00:00+09:00,731.56,743.96,731.56,741.48
2026-03-26 09:00:00+09:00,739.98,741.01,716.42,720.29
2026-03-27 09:00:00+09:00,720.93,737.49,717.03,734.4
2026-03-30 09:00:00+09:00,719.89,720.41,697.87,709.93
2026-03-31 09:00:00+09:00,707.18,716.08,697.38,699.09
2026-04-01 09:00:00+09:00,711.22,737.39,711.22,737.39
2026-04-02 09:00:00+09:00,739.18,749.1,721.62,723.9
