date,rank,popular_rank,rising_rank,ranking_sources,stock_code,stock_name,market,current_price,price_source,provider_price,provider_price_date,target_low,target_mean,target_high,target_upside_pct,recommendation_key,recommendation_mean,analyst_count,current_year_end,current_year_eps,current_year_eps_30d,current_year_eps_change_pct,next_year_end,next_year_eps,next_year_eps_30d,next_year_eps_change_pct,classification,classification_score,data_quality,data_note,bear_price,base_price,bull_price,scenario_price_method,source_url,data_reference_date,retrieved_at
2026-09-14,1,1,,popular,285A,キオクシアホールディングス(株),東証PRM,50590.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,43512.86,50590.0,57667.14,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/285A.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,2,2,,popular,9984,ソフトバンクグループ(株),東証PRM,5839.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,5048.14,5839.0,6629.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/9984.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,3,3,,popular,6740,(株)ジャパンディスプレイ,東証PRM,46.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,42.57,46.0,49.43,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/6740.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,4,4,,popular,5803,(株)フジクラ,東証PRM,4834.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,4249.71,4834.0,5418.29,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5803.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,5,5,,popular,3350,(株)メタプラネット,東証STD,247.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,195.86,247.0,298.14,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/3350.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,6,6,,popular,5016,ＪＸ金属(株),東証PRM,3617.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,3258.86,3617.0,3975.14,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5016.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,7,7,,popular,6203,豊和工業(株),東証STD,2344.0,published_stock_close,2344.0,2026-09-14,,,,,none,,2.0,2027-03-31,105.6,95.25,10.86614173228346,2028-03-31,132.55,126.35,4.907004352987746,判定不能,,insufficient,target_prices_missing;analyst_count_below_3,1848.29,2344.0,2839.71,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/6203.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,8,8,,popular,593A,(株)ティアフォー,東証GRT,2138.0,provider_snapshot,2138.0,2026-09-14,1350.0,1350.0,1350.0,-36.85687558465855,buy,2.0,1.0,2026-09-30,-149.92,0.0,,2027-09-30,-39.98,0.0,,判定不能,,insufficient,analyst_count_below_3,1350.0,1350.0,1350.0,market_consensus_low_mean_high,https://finance.yahoo.com/quote/593A.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,9,9,,popular,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,20310.0,published_stock_close,20310.0,2026-09-14,,,,,none,,1.0,2027-01-31,-138.5,-133.8,-3.5127055306427417,2028-01-31,-71.8,-72.0,0.27777777777778173,判定不能,,insufficient,target_prices_missing;analyst_count_below_3,15297.14,20310.0,25322.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/278A.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,10,10,,popular,3825,(株)リミックスポイント,東証STD,225.0,published_stock_close,225.0,2026-09-14,,,,,none,,,2027-03-31,,,,,,,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3;eps_30d_comparison_missing,194.14,225.0,255.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/3825.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,11,11,,popular,8306,(株)三菱ＵＦＪフィナンシャル・グループ,東証PRM,3720.0,published_stock_close,3720.0,2026-09-14,2270.0,3685.4546,4360.0,-0.9286397849462391,buy,1.72727,11.0,2027-03-31,250.14465,246.69495,1.398366687279171,2028-03-31,274.7574,271.62033,1.154946686059911,基本,1.0,complete,complete,2270.0,3685.4546,4360.0,market_consensus_low_mean_high,https://finance.yahoo.com/quote/8306.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,12,12,,popular,1783,(株)ｆａｎｔａｓｉｓｔａ,東証STD,77.0,published_stock_close,77.0,2026-09-14,,,,,none,,,2026-09-30,,,,,,,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3;eps_30d_comparison_missing,66.0,77.0,88.0,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/1783.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,13,13,,popular,3103,ユニチカ(株),東証STD,1380.0,published_stock_close,1380.0,2026-09-14,,,,,none,,1.0,2027-03-31,83.8,0.0,,2028-03-31,109.8,0.0,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3,1140.0,1380.0,1620.0,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/3103.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,14,14,,popular,1570,(NEXT FUNDS)日経平均レバレッジ上場投信,東証ETF,63920.0,provider_snapshot,63920.0,2026-09-14,,,,,,,,,,,,,,,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing,57528.0,63920.0,70312.0,price_plus_minus_10pct; not analyst targets,https://finance.yahoo.com/quote/1570.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,15,15,,popular,485A,(株)パワーエックス,東証GRT,2267.0,published_stock_close,2267.0,2026-09-14,,,,,none,,,2026-12-31,,,,,,,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3;eps_30d_comparison_missing,1903.86,2267.0,2630.14,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/485A.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,16,16,,popular,5721,エスクリプトエナジー(株),東証STD,53.0,published_stock_close,53.0,2026-09-14,,,,,none,,,2027-03-31,,,,,,,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3;eps_30d_comparison_missing,46.14,53.0,59.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5721.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,17,17,,popular,7201,日産自動車(株),東証PRM,313.20001220703125,published_stock_close,313.2,2026-09-14,280.0,387.5,620.0,23.722855969703804,hold,3.11765,16.0,2027-03-31,13.8988,13.93806,-0.28167478113884226,2028-03-31,43.65776,41.03647,6.387708299471181,基本,1.0,complete,complete,280.0,387.5,620.0,market_consensus_low_mean_high,https://finance.yahoo.com/quote/7201.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,18,18,,popular,7974,任天堂(株),東証PRM,8268.0,published_stock_close,8268.0,2026-09-14,5000.0,10522.8,21260.0,27.271407837445572,buy,1.88462,27.0,2027-03-31,377.69666,371.06403,1.7874623956409912,2028-03-31,415.67212,417.45175,-0.426307950559555,強気,2.0,complete,complete,5000.0,10522.8,21260.0,market_consensus_low_mean_high,https://finance.yahoo.com/quote/7974.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
2026-09-14,19,19,,popular,4588,オンコリスバイオファーマ(株),東証GRT,6160.0,published_stock_close,6160.0,2026-09-14,,,,,none,,,2026-12-31,,,,,,,,判定不能,,insufficient,target_prices_missing;analyst_count_below_3;eps_30d_comparison_missing,5164.29,6160.0,7155.71,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/4588.T/analysis/,2026-09-14,2026-09-15T02:13:19.063481+09:00
