date,rank,stock_code,stock_name,market,current_price,price_source,provider_price,provider_price_date,target_low,target_mean,target_high,target_upside_pct,recommendation_key,recommendation_mean,analyst_count,current_year_end,current_year_eps,current_year_eps_30d,current_year_eps_change_pct,next_year_end,next_year_eps,next_year_eps_30d,next_year_eps_change_pct,classification,classification_score,data_quality,data_note,bear_price,base_price,bull_price,scenario_price_method,source_url,data_reference_date,retrieved_at
2026-09-25,1,285A,キオクシアホールディングス(株),東証PRM,55780.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,48825.71,55780.0,62734.29,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/285A.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,2,3905,データセクション(株),東証GRT,2077.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,1829.0,2077.0,2325.0,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/3905.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,3,5721,エスクリプトエナジー(株),東証STD,61.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,51.86,61.0,70.14,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5721.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,4,9984,ソフトバンクグループ(株),東証PRM,6150.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,5242.29,6150.0,7057.71,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/9984.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,5,5016,ＪＸ金属(株),東証PRM,3555.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,3239.29,3555.0,3870.71,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5016.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,6,5253,カバー(株),東証GRT,1480.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,1333.43,1480.0,1626.57,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5253.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,7,8306,(株)三菱ＵＦＪフィナンシャル・グループ,東証PRM,3714.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,3531.57,3714.0,3896.43,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/8306.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,8,627A,ａｋｉｐｐａ(株),東証STD,,provider_snapshot,,,,,,,,,,,,,,,,,,判定不能,,invalid,current_price_missing;provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,,,,unavailable,https://finance.yahoo.com/quote/627A.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,9,6740,(株)ジャパンディスプレイ,東証PRM,51.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,46.86,51.0,55.14,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/6740.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,10,4588,オンコリスバイオファーマ(株),東証GRT,6280.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,4972.14,6280.0,7587.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/4588.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,11,593A,(株)ティアフォー,東証GRT,,provider_snapshot,,,,,,,,,,,,,,,,,,判定不能,,invalid,current_price_missing;provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,,,,unavailable,https://finance.yahoo.com/quote/593A.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,12,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),東証GRT,19800.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,16031.43,19800.0,23568.57,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/278A.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,13,3350,(株)メタプラネット,東証STD,293.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,252.14,293.0,333.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/3350.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,14,4755,楽天グループ(株),東証PRM,680.2000122070312,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,647.27,680.2,713.13,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/4755.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,15,485A,(株)パワーエックス,東証GRT,2118.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,1683.0,2118.0,2553.0,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/485A.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,16,4062,イビデン(株),東証PRM,23345.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,20274.29,23345.0,26415.71,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/4062.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,17,5803,(株)フジクラ,東証PRM,4986.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,4487.57,4986.0,5484.43,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/5803.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,18,3103,ユニチカ(株),東証STD,1520.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,1333.14,1520.0,1706.86,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/3103.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,19,7974,任天堂(株),東証PRM,8100.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,7571.71,8100.0,8628.29,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/7974.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
2026-09-25,20,6976,太陽誘電(株),東証PRM,9160.0,published_stock_close,,,,,,,,,,,,,,,,,,判定不能,,invalid,provider_price_date_mismatch;target_prices_missing;analyst_count_below_3;recommendation_missing;eps_30d_comparison_missing;provider_fetch_failed,7972.0,9160.0,10348.0,atr14_plus_minus_2atr; not analyst targets,https://finance.yahoo.com/quote/6976.T/analysis/,2026-09-25,2026-09-26T00:49:34.507569+09:00
