code,company_name
13010,極洋
13320,ニッスイ
13330,Ｕｍｉｏｓ
135A0,ヴレインＳ
14170,ミライトワン
141A0,トライアル
14310,リブワーク
145A0,エルイズビー
147A0,ソラコム
14910,中外鉱
15140,住石ＨＤ
15180,三井松島ＨＤ
155A0,情報戦略テク
16050,ＩＮＰＥＸ
16620,石油資源
167A0,リョー菱ＨＤ
17210,コムシスＨＤ
173A0,ハンモック
175A0,ウィルスマ
18320,北海電工
18850,東亜建
18930,五洋建
19250,大和ハウス
19300,北陸電工
19420,関電工
19440,きんでん
19450,東京エネシス
19510,エクシオＧ
19520,新日本空調
19590,クラフティア
195A0,マスカットＧ
19610,三機工
19630,日揮ＨＤ
19660,高田工
19690,高砂熱
19750,朝日工
19800,ダイダン
19820,日比谷設
19920,神田通機
20010,ニップン
20020,日清粉Ｇ
20530,中部飼
20600,フィードワン
208A0,構造計画ＨＤ
21080,甜菜糖
21090,ＤＭ三井製糖
21300,メンバーズ
21340,北浜ＣＰ
21480,ＩＴメディア
21580,フロンテオ
21640,地域新聞社
21730,博展
21860,ソーバル
218A0,リベラウェア
228A0,オプロ
23150,ＣＡＩＣＡＤ
23170,システナ
23210,ソフトフロン
23270,ＮＳＳＯＬ
23300,フォーサイド
23340,イオレ
23350,キューブシス
23380,クオンタムＳ
23490,エヌアイデイ
23540,ＹＥデジタル
23750,ギグワークス
23760,サイネックス
23790,ディップ
23910,プラネット
24130,エムスリー
241A0,ＲＯＸＸ
24320,ディーエヌエ
24360,共同ＰＲ
244A0,グロースｘＰ
24590,アウン
246A0,アスア
247A0,Ａｉロボ
24800,シスロケ
24830,翻訳センター
24880,ＪＴＰ
25010,サッポロ
25020,アサヒ
25030,キリンＨＤ
254A0,ＡＩＦＣＧ
255A0,ＧＬテクノ
265A0,Ｈｍｃｏｍｍ
26670,イメージワン
26700,ＡＢＣマート
26760,高千穂交易
268A0,リガクＨＤ
26980,キャンドゥ
269A0,Ｓａｐｅｅｔ
27370,トーメンデバ
27600,東エレデバ
27680,双日
276A0,ククレブ
27760,新都ＨＤ
277A0,グロービング
27820,セリア
278A0,テラドローン
27910,大黒天
28020,味の素
280A0,ＴＭＨ
281A0,インフォメテ
28200,やまみ
285A0,キオクシア
286A0,ユカリア
28710,ニチレイ
287A0,黒田グループ
290A0,Ｓｙｎｓ
29140,ＪＴ
29620,テクニスコ
29800,ＳＲＥＨＤ
298A0,ＧＶＡテック
30360,アルコニクス
30380,神戸物産
303A0,ｖｉｓｕｍｏ
30400,ソリトン
304A0,フォルシア
30830,スターシーズ
30890,Ｔアルファ
31030,ユニチカ
31040,富士紡ＨＤ
31050,日清紡ＨＤ
31060,クラボウ
31100,日東紡
31310,シンデンハイ
31320,マクニカＨＤ
31390,ラクトＪ
31530,八洲電機
31560,レスター
31670,ＴＯＫＡＩ
31680,ＭＥＲＦ
31760,三洋貿易
31890,ＡＮＡＰＨＤ
32040,トーア紡
32890,東急不ＨＤ
33000,アンビＤＸ
330A0,タレントＸ
331A0,メディックス
33210,ミタチ産業
33230,レカム
33330,あさひ
336A0,ダイナマップ
33740,内外テック
33820,セブン＆アイ
34010,帝人
34020,東レ
34070,旭化成
34330,トーカロ
34360,ＳＵＭＣＯ
34410,山王
34430,川田テク
34440,菊池製作
34450,ＲＳテクノ
34460,Ｊテック・Ｃ
