code,sector_17_code,sector_33_code
13010,1,0050
13320,1,0050
13330,1,0050
13750,1,0050
13770,1,0050
13790,1,0050
14140,3,2050
14170,3,2050
14190,3,2050
14290,3,2050
14330,3,2050
15150,2,1050
15180,10,3800
16050,2,1050
16620,2,1050
16630,2,1050
167A0,13,6050
17190,3,2050
17200,3,2050
17210,3,2050
17260,3,2050
17620,3,2050
17660,3,2050
17730,3,2050
17800,3,2050
17860,3,2050
18010,3,2050
18020,3,2050
18030,3,2050
18080,3,2050
18120,3,2050
18130,3,2050
18140,3,2050
18150,3,2050
18200,3,2050
18330,3,2050
18350,3,2050
18520,3,2050
18600,3,2050
18610,3,2050
18700,3,2050
18710,3,2050
18730,3,2050
18780,17,8050
18790,3,2050
18820,3,2050
18850,3,2050
18870,3,2050
18880,3,2050
18930,3,2050
18980,3,2050
18990,3,2050
19110,3,2050
19250,3,2050
19260,3,2050
19280,3,2050
19290,3,2050
19300,3,2050
19340,3,2050
19380,3,2050
19390,3,2050
19410,3,2050
19420,3,2050
19440,3,2050
19450,3,2050
19460,3,2050
19500,3,2050
19510,3,2050
19520,3,2050
19590,3,2050
19610,3,2050
19630,3,2050
19640,3,2050
19680,3,2050
19690,3,2050
19750,3,2050
19760,3,2050
19790,3,2050
19800,3,2050
19820,3,2050
20010,1,3050
20020,1,3050
20040,1,3050
20530,1,3050
20600,1,3050
21080,1,3050
21090,1,3050
21170,1,3050
21200,10,9050
21210,10,5250
21240,10,9050
21270,10,9050
212A0,10,9050
21300,10,9050
21460,10,9050
21480,10,9050
21530,10,9050
21540,10,9050
21570,10,9050
21630,10,9050
21680,10,9050
21700,10,9050
21750,10,9050
21810,10,9050
21980,10,9050
22010,1,3050
22060,1,3050
22070,1,3050
22090,1,3050
22110,1,3050
22120,1,3050
22170,1,3050
22200,1,3050
22220,1,3050
22290,1,3050
22640,1,3050
22660,1,3050
22670,1,3050
22690,1,3050
22700,1,3050
22810,1,3050
22820,1,3050
22880,1,3050
22920,1,3050
22940,1,3050
22960,1,3050
23010,10,9050
23070,10,5250
23170,10,5250
23250,10,9050
23260,10,5250
23270,10,5250
23310,10,9050
23350,10,5250
23370,17,8050
23530,17,8050
23590,10,5250
23710,10,9050
23780,10,9050
23790,10,9050
23840,12,5050
23950,10,9050
24100,10,9050
24130,10,9050
24290,10,9050
24320,10,5250
24330,10,9050
24610,10,9050
24620,10,9050
24710,10,9050
24750,10,9050
24910,10,9050
24920,10,9050
25010,1,3050
25020,1,3050
25030,1,3050
25310,1,3050
25330,1,3050
25400,1,3050
256A0,3,2050
25790,1,3050
25850,1,3050
25870,1,3050
25900,1,3050
25930,1,3050
25940,1,3050
26020,1,3050
26070,1,3050
26130,1,3050
262A0,14,6100
26590,14,6100
26640,14,6100
26700,14,6100
26740,14,6100
26760,13,6050
26780,14,6100
26810,14,6100
26850,14,6100
268A0,9,3750
26920,13,6050
26950,14,6100
27260,14,6100
27300,14,6100
27330,13,6050
27340,14,6100
27370,13,6050
27420,14,6100
27490,10,9050
27520,14,6100
27530,14,6100
27600,13,6050
27670,13,6050
27680,13,6050
277A0,10,9050
27840,13,6050
27910,14,6100
27920,14,6100
28010,1,3050
28020,1,3050
28040,1,3050
28090,1,3050
28100,1,3050
28110,1,3050
28150,1,3050
285A0,9,3650
28710,1,3050
28740,13,6050
28750,1,3050
28820,1,3050
28840,1,3050
28970,1,3050
29080,1,3050
29100,1,3050
29140,1,3050
29150,1,3050
29180,1,3050
29220,1,3050
29290,1,3050
29300,4,3200
29310,1,3050
29330,1,3050
29350,1,3050
29750,17,8050
29800,17,8050
29820,17,8050
30020,4,3100
30030,17,8050
30280,14,6100
30310,10,5250
30340,14,6100
30360,13,6050
30380,13,6050
30400,10,5250
30460,14,6100
30480,14,6100
30500,14,6100
30640,14,6100
30760,13,6050
30860,14,6100
30870,14,6100
30880,14,6100
30910,14,6100
30920,14,6100
30930,14,6100
30970,14,6100
30990,14,6100
31010,4,3200
31040,4,3100
31050,9,3650
31060,4,3100
31070,13,6050
31090,4,3100
31100,3,3400
31160,6,3700
31320,13,6050
31390,13,6050
31480,14,6100
31500,11,4050
31510,13,6050
31530,13,6050
31540,13,6050
31560,13,6050
31670,13,6050
31760,13,6050
31790,14,6100
31800,13,6050
31820,14,6100
31830,13,6050
31860,14,6100
31910,14,6100
31930,14,6100
31960,14,6100
31970,14,6100
31980,14,6100
31990,14,6100
32010,4,3100
32210,14,6100
32310,17,8050
32320,17,8050
32450,17,8050
32520,17,8050
32760,17,8050
32840,17,8050
32880,17,8050
32890,17,8050
32910,17,8050
33020,4,3100
33150,2,3300
33330,14,6100
33490,14,6100
33600,13,6050
33710,10,5250
33820,14,6100
33870,14,6100
33880,13,6050
33910,14,6100
33930,13,6050
33950,14,6100
33970,14,6100
34010,4,3100
34020,4,3100
34050,4,3200
34070,4,3200
34150,14,6100
34310,3,3550
34330,3,3550
34360,3,3550
34430,3,3550
34450,3,3550
34570,17,8050
34650,17,8050
34750,17,8050
34800,17,8050
34820,17,8050
34860,17,8050
34960,17,8050
34980,17,8050
35010,4,3100
35390,14,6100
35430,13,6050
35460,14,6100
35480,14,6100
35490,14,6100
35610,14,6100
35630,14,6100
35690,4,3100
35800,4,3100
35910,4,3100
35930,4,3100
36080,4,3100
36120,4,3100
36260,10,5250
36320,10,5250
36350,10,5250
36360,10,5250
36490,10,5250
36560,10,5250
36570,10,5250
36590,10,5250
36600,10,5250
36610,10,5250
36620,10,5250
36630,10,5250
36650,10,5250
36680,10,5250
36730,10,5250
36760,10,5250
36780,10,5250
36790,10,5250
36810,10,5250
36870,10,5250
368A0,9,3750
36940,10,5250
36960,10,5250
36970,10,5250
37080,4,3150
37410,10,5250
37620,10,5250
37630,10,5250
37650,10,5250
37690,10,5250
37710,10,5250
37740,10,5250
37780,10,5250
37880,10,5250
38170,10,5250
38340,10,5250
38350,10,5250
38360,10,5250
38370,10,5250
38430,10,5250
38440,10,5250
38530,10,5250
38540,10,5250
38610,4,3150
38630,4,3150
38640,4,3150
38650,4,3150
38770,4,3150
38800,4,3150
39010,10,5250
39030,10,5250
39150,10,5250
39160,10,5250
39210,10,5250
39220,10,5250
39230,10,5250
39250,10,5250
39320,10,5250
39390,10,5250
39410,4,3150
39460,4,3150
39500,4,3150
39620,10,5250
39630,10,5250
39640,10,5250
39680,10,5250
39830,10,5250
39840,10,5250
39920,10,5250
39930,10,5250
39940,10,5250
40040,4,3200
40050,4,3200
40080,4,3200
40210,4,3200
40220,4,3200
40230,4,3200
40250,4,3200
40270,4,3200
40280,4,3200
40410,4,3200
40420,4,3200
40430,4,3200
40440,4,3200
40450,4,3200
40460,4,3200
40470,4,3200
40510,10,5250
40530,10,5250
40610,4,3200
40620,9,3650
40630,4,3200
40640,4,3200
40710,10,5250
40720,10,5250
40780,4,3200
40820,4,3200
40880,4,3200
40910,4,3200
40920,4,3200
40950,4,3200
40970,4,3200
40990,4,3200
409A0,1,3050
41090,4,3200
41120,4,3200
41140,4,3200
41160,4,3200
41180,4,3200
41510,5,3250
417A0,14,6100
41800,10,5250
41820,4,3200
41830,4,3200
41860,4,3200
41870,4,3200
41880,4,3200
41890,4,3200
41940,10,5250
42020,4,3200
42030,4,3200
42040,4,3200
42050,4,3200
42060,4,3200
42080,4,3200
42120,4,3200
42160,4,3200
42180,4,3200
42200,4,3200
42210,4,3200
42280,4,3200
42290,4,3200
42460,4,3200
42490,4,3200
42510,4,3200
42720,4,3200
42750,4,3200
42900,10,9050
429A0,10,3800
43010,10,9050
43070,10,5250
43100,10,9050
43180,10,9050
43230,10,5250
43240,10,9050
43260,10,5250
43310,10,9050
43370,10,9050
43430,10,9050
43440,10,5250
43450,10,9050
43620,4,3200
43680,4,3200
43690,4,3200
43730,10,5250
43840,10,5250
43850,10,5250
43900,10,5250
43920,10,5250
43960,10,5250
44010,4,3200
44030,4,3200
44100,4,3200
44130,10,5250
44320,10,5250
44330,10,9050
44430,10,5250
44460,10,5250
44490,10,5250
44520,4,3200
44610,4,3200
44620,4,3200
44710,4,3200
44800,10,5250
44810,10,5250
44830,10,5250
45020,5,3250
45030,5,3250
45060,5,3250
45070,5,3250
45160,5,3250
45190,5,3250
45210,5,3250
45230,5,3250
45260,1,3050
45270,5,3250
45280,5,3250
45300,5,3250
45340,5,3250
45360,5,3250
45380,5,3250
45400,5,3250
45430,9,3750
45440,10,9050
45470,5,3250
45480,5,3250
45490,5,3250
45520,5,3250
45530,5,3250
45540,5,3250
45590,5,3250
45650,5,3250
45680,5,3250
45690,5,3250
45740,5,3250
45770,5,3250
45780,5,3250
45870,5,3250
46110,4,3200
46120,4,3200
46130,4,3200
46170,4,3200
46260,4,3200
46310,4,3200
46330,4,3200
46340,4,3200
46410,10,9050
46580,10,9050
46610,10,9050
46620,10,5250
46650,10,9050
46660,17,8050
46680,10,9050
46740,10,5250
46760,10,5250
46800,10,9050
46810,10,9050
46840,10,5250
46860,10,5250
46870,10,5250
46890,10,5250
46940,10,9050
47040,10,5250
47090,10,5250
47140,10,9050
47180,10,9050
47190,10,5250
471A0,16,7200
47220,10,5250
47250,10,5250
47320,10,9050
47330,10,5250
47430,10,5250
47510,10,9050
47550,10,9050
47630,10,9050
47650,10,9050
47680,10,5250
47760,10,5250
47840,10,9050
47920,10,9050
48010,10,9050
48090,17,8050
48120,10,5250
48130,10,5250
48190,10,5250
48200,10,5250
48250,10,5250
48260,10,5250
48280,10,5250
48390,10,5250
48470,10,5250
48480,10,9050
48490,10,9050
48860,5,3250
48870,5,3250
49010,4,3200
49020,9,3650
49110,4,3200
49120,4,3200
49140,4,3200
49170,4,3200
49190,4,3200
49220,4,3200
49230,4,3200
49270,4,3200
49280,4,3200
49310,4,3200
49330,4,3200
49510,4,3200
