theme_name,cluster,kabutan_name,stock_code,yahoo_ticker,company_name,sector,in_3y_manifest,source_url
3Dプリンター,設備投資・機械,3Dプリンター,1431,1431.T,リブワーク,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,3103,3103.T,ユニチカ,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,3401,3401.T,帝人,素材・化学,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,3402,3402.T,東レ,素材・化学,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,4229,4229.T,群栄化,素材・化学,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,4240,4240.T,4240.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,4401,4401.T,ＡＤＥＫＡ,素材・化学,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,4631,4631.T,4631.T,素材・化学,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,4635,4635.T,4635.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,4892,4892.T,4892.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,5471,5471.T,大同特鋼,鉄鋼・非鉄,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,5603,5603.T,5603.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,5609,5609.T,日鋳造,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,5704,5704.T,5704.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,5801,5801.T,古河電,鉄鋼・非鉄,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,5871,5871.T,5871.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6091,6091.T,6091.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6104,6104.T,6104.T,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6141,6141.T,6141.T,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6142,6142.T,,,False,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6143,6143.T,6143.T,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6268,6268.T,ナブテスコ,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6301,6301.T,6301.T,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6339,6339.T,新東工,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6340,6340.T,渋谷工,機械,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6433,6433.T,ヒーハイスト,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6503,6503.T,三菱電,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6622,6622.T,ダイヘン,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6633,6633.T,6633.T,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6638,6638.T,6638.T,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6724,6724.T,エプソン,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6752,6752.T,6752.T,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6777,6777.T,ｓａｎｔｅｃ,その他,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6861,6861.T,キーエンス,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
3Dプリンター,設備投資・機械,3Dプリンター,6869,6869.T,6869.T,電機・精密,True,https://s.kabutan.jp/themes/3D%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BF%E3%83%BC/?market=all
