strategy,horizon_days,n,mean_pct,median_pct,win_rate_pct,mfe_mean_pct,mfe_median_pct,mae_mean_pct,mae_median_pct,plus5_hit_rate_pct,plus10_hit_rate_pct,minus5_hit_rate_pct,minus8_hit_rate_pct
acceleration_main,5,20759,0.2562,0.0327,50.1,4.1009,2.6954,-3.6096,-2.5517,26.2,8.02,23.12,9.5
acceleration_main,10,20759,0.6477,0.3065,52.11,6.0531,3.992,-4.9964,-3.5574,41.04,16.63,35.95,18.56
acceleration_main,20,20759,1.4847,0.8984,54.43,9.0989,6.0923,-6.9788,-4.9709,57.58,30.58,49.75,30.63
acceleration_main,40,20759,3.4922,2.0732,57.17,14.1925,9.6833,-9.4752,-6.7859,72.07,48.62,60.78,43.6
acceleration_raw,5,21612,0.2868,0.0,49.98,4.479,2.7712,-3.8382,-2.6277,27.71,9.36,24.75,11.0
acceleration_raw,10,21612,0.697,0.291,51.8,6.5922,4.1055,-5.2522,-3.6437,42.28,18.0,37.34,19.98
acceleration_raw,20,21612,1.4234,0.8255,53.91,9.7163,6.2455,-7.2981,-5.1149,58.32,31.65,50.91,32.04
acceleration_raw,40,21612,3.3095,1.908,56.43,14.858,9.8377,-9.8877,-7.0454,72.35,49.26,61.82,44.86
static_score60,5,23025,0.2656,0.047,50.25,4.2171,2.7377,-3.7093,-2.5977,26.98,8.36,23.93,10.22
static_score60,10,23025,0.6858,0.3404,52.23,6.2495,4.0695,-5.0964,-3.5954,41.82,17.28,36.74,19.14
static_score60,20,23025,1.4744,0.7922,53.95,9.3994,6.1702,-7.14,-5.0561,57.99,31.17,50.44,31.51
static_score60,40,23025,3.3985,1.9786,56.73,14.5191,9.751,-9.6798,-6.9435,72.16,48.93,61.33,44.51
static_score70,5,17387,0.2226,0.0,49.92,4.2067,2.7672,-3.7766,-2.6554,27.6,8.51,24.63,10.51
static_score70,10,17387,0.7335,0.3469,52.38,6.2256,4.112,-5.1276,-3.6364,42.13,17.21,36.94,19.47
static_score70,20,17387,1.5613,0.843,53.89,9.3816,6.1998,-7.1297,-5.0866,58.07,31.18,50.66,31.74
static_score70,40,17387,3.5212,2.102,56.97,14.4996,9.7143,-9.6162,-6.925,71.97,48.86,61.19,44.31
