strategy,ticker,signal_date,entry_date,entry_open,score,score_5d_ago,score_delta_5d,overheat_penalty,turnover20_yen,turnover_ratio_5v15,volume_ratio_3v20,up_down_volume_ratio_10d,close_location_5d,return_5d_pct,rs_5d_pct,best_theme_percentile,distance_from_20d_high_pct,mfe_5d_pct,mae_5d_pct,hit_plus5_5d,hit_plus10_5d,hit_minus5_5d,hit_minus8_5d,return_10d_pct,mfe_10d_pct,mae_10d_pct,hit_plus5_10d,hit_plus10_10d,hit_minus5_10d,hit_minus8_10d,return_20d_pct,mfe_20d_pct,mae_20d_pct,hit_plus5_20d,hit_plus10_20d,hit_minus5_20d,hit_minus8_20d,return_40d_pct,mfe_40d_pct,mae_40d_pct,hit_plus5_40d,hit_plus10_40d,hit_minus5_40d,hit_minus8_40d
acceleration_main,1944.T,2023-10-02,2023-10-03,2054.18,100,45,55,0,741648372.9,1.7043,1.6546,1.2306,0.6198,-0.6397,3.067,0.9024,1.7537,0.8675,-6.0292,0,0,1,0,-4.1793,0.8675,-6.0292,0,0,1,0,4.0873,8.3805,-6.0292,1,0,1,0,1.3699,9.4997,-6.0292,1,0,1,0
acceleration_main,8060.T,2023-10-02,2023-10-03,1782.59,90,40,50,0,497427481.6,1.756,1.3487,1.3049,0.5462,1.03,2.8414,0.9106,2.8749,1.2106,-3.9673,0,0,0,0,-0.593,1.2106,-3.9673,0,0,0,0,-7.2905,1.2106,-9.6859,0,0,1,1,-3.8898,1.2106,-9.6859,0,0,1,1
acceleration_main,8337.T,2023-10-02,2023-10-03,876.31,90,44,46,0,473793915.75,1.444,1.4142,1.4459,0.5408,1.787,3.9826,0.9837,3.1415,2.2344,-5.9226,0,0,1,0,0.1107,4.1332,-5.9226,0,0,1,0,9.0493,9.4966,-5.9226,1,0,1,0,-7.2634,13.631,-9.1623,1,1,1,1
acceleration_main,8366.T,2023-10-02,2023-10-03,693.28,90,37,53,0,315920445.0,1.7033,1.4127,1.2775,0.5614,4.9446,7.1304,0.9837,0.9582,5.0816,-4.121,1,0,0,0,1.7857,5.3571,-4.121,1,0,0,0,9.0656,9.6152,-4.121,1,0,0,0,2.8848,17.0321,-4.121,1,1,0,0
acceleration_main,8871.T,2023-10-02,2023-10-03,2060.62,87,27,60,0,188796891.85,1.1882,1.2992,1.2207,0.6484,2.9676,5.0828,0.7154,1.1229,3.0122,-3.8673,0,0,0,0,4.586,4.586,-3.8673,0,0,0,0,-3.5975,9.667,-4.7214,1,0,0,0,-9.7573,9.667,-12.95,1,0,1,1
acceleration_main,2982.T,2023-10-02,2023-10-03,237.55,82,10,72,20,265636269.75,1.2003,1.4687,1.9069,0.6299,-1.4692,12.2548,0.9756,1.7893,0.7367,-10.2926,0,0,1,1,-1.8354,1.4734,-10.2926,0,0,1,1,-6.6176,1.4734,-10.2926,0,0,1,1,-9.5559,1.4734,-16.9101,0,0,1,1
acceleration_main,4733.T,2023-10-02,2023-10-03,6036.64,82,20,62,0,1111372699.55,1.1154,1.3855,1.1147,0.4626,0.0,5.953,0.878,2.91,0.6401,-2.8799,0,0,0,0,-2.4,1.44,-5.1199,0,0,1,0,3.136,4.0001,-8.6399,0,0,1,1,8.1441,8.3841,-8.6399,1,0,1,1
acceleration_main,1942.T,2023-10-02,2023-10-03,1282.67,80,30,50,0,537051220.3,1.4399,1.4031,1.0993,0.516,-2.3272,4.4072,0.9024,2.3104,0.1458,-6.909,0,0,1,0,-5.8183,0.1458,-6.909,0,0,1,0,1.5273,2.0364,-6.909,0,0,1,0,-3.4179,4.7276,-6.909,0,0,1,0
acceleration_main,2501.T,2023-10-02,2023-10-03,925.44,80,32,48,0,1367475677.25,1.4314,1.5606,1.0339,0.7254,4.9479,2.5985,0.6423,0.6077,6.0544,-1.6695,1,0,0,0,3.675,6.0544,-1.6695,1,0,0,0,10.7311,11.1482,-1.6695,1,1,0,0,20.3763,26.3885,-1.6695,1,1,0,0
acceleration_main,3445.T,2023-10-02,2023-10-03,2810.53,80,25,55,20,377216921.05,2.2115,1.8109,1.1954,0.7976,-5.3755,13.7843,0.9187,1.1737,1.4129,-9.4761,0,0,1,1,-5.4445,1.4129,-9.4761,0,0,1,1,-18.7801,1.4129,-20.5374,0,0,1,1,-1.3784,1.4129,-20.5374,0,0,1,1
