stock_code,theme_name,revenue_share_pct,share_status,share_basis,segment_names,source_url,evidence
1301,円高メリット,,unknown,,,,売上セグメントとテーマを直接対応できず
130A,創薬,,unknown,,,,売上セグメントとテーマを直接対応できず
130A,医薬品関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1326,金,,non_operating_security,,,,事業会社ではないため対象外
1328,金,,non_operating_security,,,,事業会社ではないため対象外
1332,円高メリット,,unknown,,,,売上セグメントとテーマを直接対応できず
1333,介護関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1333,円高メリット,,unknown,,,,売上セグメントとテーマを直接対応できず
1333,宅配,,unknown,,,,売上セグメントとテーマを直接対応できず
1333,食品,,unknown,,,,売上セグメントとテーマを直接対応できず
135A,IoT,,unknown,,,,売上セグメントとテーマを直接対応できず
135A,デジタルトランスフォーメーション,,unknown,,,,売上セグメントとテーマを直接対応できず
135A,人工知能,,unknown,,,,売上セグメントとテーマを直接対応できず
1375,食品,,unknown,,,,売上セグメントとテーマを直接対応できず
137A,IT関連,,unknown,,,,売上セグメントとテーマを直接対応できず
137A,SaaS,,unknown,,,,売上セグメントとテーマを直接対応できず
137A,クラウドコンピューティング,,unknown,,,,売上セグメントとテーマを直接対応できず
137A,サブスクリプション,,unknown,,,,売上セグメントとテーマを直接対応できず
137A,不動産テック,,unknown,,,,売上セグメントとテーマを直接対応できず
137A,不動産関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1380,宅配,,unknown,,,,売上セグメントとテーマを直接対応できず
1381,外食,,unknown,,,,売上セグメントとテーマを直接対応できず
138A,外食,,unknown,,,,売上セグメントとテーマを直接対応できず
138A,小売り,,unknown,,,,売上セグメントとテーマを直接対応できず
1401,住宅関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1401,建設,32.41,structured_segment_candidate,external_customer_sales_table,建築工事業,https://www.homemakeup.co.jp/dcms_media/other/20260713kt.ir.pdf,"事
業」、「建築工事業」を報告セグメントとしております。「ホームメイキャップ事業」はホームメイキャップ工法
等による、諸建造物における内外装リフォーム工事、「建築工事業」は新築及び改修工事を行っております。
２ 報告セグメントごとの売上高、利益又は損失、資産、負債その他の項目の金額の算定方法
報告されている事業セグメントの会計処理の方法は、「重要な会計方針」における記載と同一であります。
報告セグメントの利益は、営業利益ベースの数値であります。セグメント間の内部収益及び振替高は市場実勢価
格に基づいております。
株式会社エムビーエス(1401) 2026年５月期 決算短信
17
３ 報告セグメントごとの売上高、利益又は損失、資産、負債その他の項目の金額に関する情報
前事業年度（自 2024年６月１日 至 2025年５月31日）
(単位：千円)
報告セグメント その他
（注） 合計ホームメイ
キャップ事業 建築工事業 計
売上高 外部顧客への売上高 4,581,538 128,723 4,710,262 2,739 4,713,002
セグメント間の内部
売上高又は振替高 － － － －"
1401,耐震化,,unknown,,,,売上セグメントとテーマを直接対応できず
1401,防災,,unknown,,,,売上セグメントとテーマを直接対応できず
1407,再生可能エネルギー,,unknown,,,,売上セグメントとテーマを直接対応できず
1407,太陽光発電関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1407,蓄電池,,unknown,,,,売上セグメントとテーマを直接対応できず
1414,国土強靱化,,unknown,,,,売上セグメントとテーマを直接対応できず
1414,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1414,耐震化,,unknown,,,,売上セグメントとテーマを直接対応できず
1414,防災,,unknown,,,,売上セグメントとテーマを直接対応できず
1417,データセンター,,unknown,,,,売上セグメントとテーマを直接対応できず
1417,ドローン,,unknown,,,,売上セグメントとテーマを直接対応できず
1417,光ファイバー,,unknown,,,,売上セグメントとテーマを直接対応できず
1417,太陽光発電関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1417,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1418,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1419,マンション関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1419,住宅関連,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,デジタルトランスフォーメーション,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,人工知能,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,外食,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,小売り,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,物流,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,生活防衛,,unknown,,,,売上セグメントとテーマを直接対応できず
141A,食品,,unknown,,,,売上セグメントとテーマを直接対応できず
1420,介護関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1420,住宅関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1429,住宅関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1429,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1430,マンション関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1430,不動産関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1430,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1431,3Dプリンター,,unknown,,,,売上セグメントとテーマを直接対応できず
1431,SaaS,,unknown,,,,売上セグメントとテーマを直接対応できず
1431,サブスクリプション,,unknown,,,,売上セグメントとテーマを直接対応できず
1431,人工知能,,unknown,,,,売上セグメントとテーマを直接対応できず
1431,住宅関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1431,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1433,原子力発電,,unknown,,,,売上セグメントとテーマを直接対応できず
1433,脱炭素,,unknown,,,,売上セグメントとテーマを直接対応できず
1434,再生可能エネルギー,,unknown,,,,売上セグメントとテーマを直接対応できず
1434,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
1434,防災,,unknown,,,,売上セグメントとテーマを直接対応できず
1434,電力設備投資関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1435,IoT,,unknown,,,,売上セグメントとテーマを直接対応できず
1435,デジタルトランスフォーメーション,,unknown,,,,売上セグメントとテーマを直接対応できず
1435,不動産テック,,unknown,,,,売上セグメントとテーマを直接対応できず
1435,不動産ファンド,,unknown,,,,売上セグメントとテーマを直接対応できず
1435,不動産関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1436,住宅関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1436,再生可能エネルギー,,unknown,,,,売上セグメントとテーマを直接対応できず
1436,太陽光発電関連,,unknown,,,,売上セグメントとテーマを直接対応できず
1436,建設,,unknown,,,,売上セグメントとテーマを直接対応できず
