stock_code,segment_name,share_pct,basis,segment_sales,total_sales,source_url,year,evidence
6769,AIOT事業,62.01,external_customer_sales_table_v6,588826.0,949604.0,https://www.thine.co.jp/files/topics/5067_ext_07_0.pdf,2026,"他 78,954 － 78,954 － 78,954
顧客との契約から生じる収
益 485,907 217,290 703,197 － 703,197
その他の収益 － － － － －
外部顧客への売上高 485,907 217,290 703,197 － 703,197
セグメント間の内部売上高
又は振替高 － 553 553 △553 －
計 485,907 217,843 703,750 △553 703,197
セグメント損失（△） △168,885 △36,871 △205,756 － △205,756
（セグメント情報等の注記）
【セグメント情報】
Ⅰ 前第１四半期連結累計期間（自 2025年１月１日 至 2025年３月31日）
１. 報告セグメントごとの売上高および利益または損失の金額に関する情報ならびに収益の分解情報
（単位：千円）
２. 報告セグメントごとの固定資産の減損損失またはのれん等に関する情報
 該当事項はありません。
- 8 -
ザインエレクトロニクス㈱(6769） 2026年12月期 第１四半期決算短信
報告セグメント
調整額
四半期
連結損益計算書
計上額LSI事業 AIOT事業 合計
売上高
日本 127,413 560,730 688,144 － 688,144
韓国 24,761 - 24,761 － 24,761
台湾 24,407 - 24,407 － 24,407
中国 100,940 17,874 118,815 － 118,815
米国他 83,254 10,221 93,475 － 93,475
顧客との契約から生じる収
益 360,778 588,826 949,604 － 949,604
その他の収益 － － － － －
 外部顧客への売上高 360,778 588,826 949,604 － 949,604
セグメント間の内部売上高
又は振替高 － － － － －
計 360,778 588,826 949,604 － 949,604
セグメント損失（△） △400,526 △10,338 △410,864 － △410,864
Ⅱ 当第１四半期連結累計期間（自 2026年１月１日 至 2026年３月31日）
１. 報告セグメントごとの売上高および利益または損失の金額に関する情報ならびに収益の分解情報
（単位：千円）
２. 報告セグメントごとの固定資産の減損損失またはのれん等に関する情報
 該当事項はありません。
（会計方針の変更）
該当事項はありません。
- 9 -
ザインエレクトロニクス㈱(6769） 2026年12月期 第１四半期決算短信"
6769,計上額LSI事業,37.99,external_customer_sales_table_v6,360778.0,949604.0,https://www.thine.co.jp/files/topics/5067_ext_07_0.pdf,2026,"他 78,954 － 78,954 － 78,954
顧客との契約から生じる収
益 485,907 217,290 703,197 － 703,197
その他の収益 － － － － －
外部顧客への売上高 485,907 217,290 703,197 － 703,197
セグメント間の内部売上高
又は振替高 － 553 553 △553 －
計 485,907 217,843 703,750 △553 703,197
セグメント損失（△） △168,885 △36,871 △205,756 － △205,756
（セグメント情報等の注記）
【セグメント情報】
Ⅰ 前第１四半期連結累計期間（自 2025年１月１日 至 2025年３月31日）
１. 報告セグメントごとの売上高および利益または損失の金額に関する情報ならびに収益の分解情報
（単位：千円）
２. 報告セグメントごとの固定資産の減損損失またはのれん等に関する情報
 該当事項はありません。
- 8 -
ザインエレクトロニクス㈱(6769） 2026年12月期 第１四半期決算短信
報告セグメント
調整額
四半期
連結損益計算書
計上額LSI事業 AIOT事業 合計
売上高
日本 127,413 560,730 688,144 － 688,144
韓国 24,761 - 24,761 － 24,761
台湾 24,407 - 24,407 － 24,407
中国 100,940 17,874 118,815 － 118,815
米国他 83,254 10,221 93,475 － 93,475
顧客との契約から生じる収
益 360,778 588,826 949,604 － 949,604
その他の収益 － － － － －
 外部顧客への売上高 360,778 588,826 949,604 － 949,604
セグメント間の内部売上高
又は振替高 － － － － －
計 360,778 588,826 949,604 － 949,604
セグメント損失（△） △400,526 △10,338 △410,864 － △410,864
Ⅱ 当第１四半期連結累計期間（自 2026年１月１日 至 2026年３月31日）
１. 報告セグメントごとの売上高および利益または損失の金額に関する情報ならびに収益の分解情報
（単位：千円）
２. 報告セグメントごとの固定資産の減損損失またはのれん等に関する情報
 該当事項はありません。
（会計方針の変更）
該当事項はありません。
- 9 -
ザインエレクトロニクス㈱(6769） 2026年12月期 第１四半期決算短信"
6814,産業用事業,9.76,external_customer_sales_table_v6,3055.0,31296.0,https://www.furuno.co.jp/Portals/0/images/ir/library/bs/kessan_27d01kt.pdf,2027,"1,397
四半期純利益 3,545 4,926
非支配株主に帰属する四半期純利益 14 44
親会社株主に帰属する四半期純利益 3,531 4,881
古野電気株式会社(6814) 2027年２月期 第１四半期決算短信
- 7 -
四半期連結包括利益計算書
第１四半期連結累計期間
(単位：百万円)
前第１四半期連結累計期間
(自 2025年３月１日
至 2025年５月31日)
当第１四半期連結累計期間
(自 2026年３月１日
至 2026年５月31日)
四半期純利益 3,545 4,926
その他の包括利益
その他有価証券評価差額金 32 37
為替換算調整勘定 △974 217
退職給付に係る調整額 38 0
持分法適用会社に対する持分相当額 70 63
その他の包括利益合計 △832 318
四半期包括利益 2,712 5,245
（内訳）
親会社株主に係る四半期包括利益 2,718 5,185
非支配株主に係る四半期包括利益 △6 59
古野電気株式会社(6814) 2027年２月期 第１四半期決算短信
- 8 -
（３）四半期連結財務諸表に関する注記事項
（継続企業の前提に関する注記）
該当事項はありません。
（株主資本の金額に著しい変動があった場合の注記）
該当事項はありません。
（セグメント情報等の注記）
【セグメント情報】
Ⅰ 前第１四半期連結累計期間(自 2025年３月１日 至 2025年５月31日)
報告セグメントごとの売上高及び利益又は損失の金額に関する情報
(単位：百万円)
報告セグメント
その他
(注)１
合計
調整額
(注)２
四半期連結
損益計算書
計上額
(注)３
舶用事業 産業用事業
無線LAN・
ハンディタ
ーミナル事
業
計
売上高
 外部顧客への売上高 27,600 3,055 565 31,221 74 31,296 － 31,296
セグメント間の内部
売上高又は振替高 47 18 94 159 152 312 △312 －
計 27,647 3,074 659 31,381 227 31,608 △312 31,296
セグメント利益又は損
失（△） 3,942 △52 △225 3,664 △46 3,617 △179 3,438
(注)１ 「その他」の区分は、報告セグメントに含まれない事業セグメントであり、電磁環境試験事業等を含んでおり
ます。
２ セグメント利益又は損失（△）の調整額は、セグメント間取引消去であります。
３ セグメント利益又は損失（△）は、四半期連結損益計算書の営業利益と調整を行っております。
古野電気株式会社(6814) 2027年２月期 第１四半期決算短信
- 9 -
Ⅱ 当第１四半期連結累計期間(自 2026年３月１日 至 2026年５月31日)
報告セグメントごとの売上高及び利益又は損失の金額に関する情報
(単位：百万円)
報告セグメント
その他
(注)１
合計
調整額
(注)２
四半期連結
損益計算書
計上額
(注)３
舶用事業 産業用事業
無線LAN・
ハンディタ
ーミナル事
業
計
売上高
外部顧客への売上高 32,564 4,637 839 38,042 73 38,115 － 38,115
セグメント間の内部
売上高又は振替高 34 22 116 172 168 341 △341"
6814,舶用事業,88.19,external_customer_sales_table_v6,27600.0,31296.0,https://www.furuno.co.jp/Portals/0/images/ir/library/bs/kessan_27d01kt.pdf,2027,"1,397
四半期純利益 3,545 4,926
非支配株主に帰属する四半期純利益 14 44
親会社株主に帰属する四半期純利益 3,531 4,881
古野電気株式会社(6814) 2027年２月期 第１四半期決算短信
- 7 -
四半期連結包括利益計算書
第１四半期連結累計期間
(単位：百万円)
前第１四半期連結累計期間
(自 2025年３月１日
至 2025年５月31日)
当第１四半期連結累計期間
(自 2026年３月１日
至 2026年５月31日)
四半期純利益 3,545 4,926
その他の包括利益
その他有価証券評価差額金 32 37
為替換算調整勘定 △974 217
退職給付に係る調整額 38 0
持分法適用会社に対する持分相当額 70 63
その他の包括利益合計 △832 318
四半期包括利益 2,712 5,245
（内訳）
親会社株主に係る四半期包括利益 2,718 5,185
非支配株主に係る四半期包括利益 △6 59
古野電気株式会社(6814) 2027年２月期 第１四半期決算短信
- 8 -
（３）四半期連結財務諸表に関する注記事項
（継続企業の前提に関する注記）
該当事項はありません。
（株主資本の金額に著しい変動があった場合の注記）
該当事項はありません。
（セグメント情報等の注記）
【セグメント情報】
Ⅰ 前第１四半期連結累計期間(自 2025年３月１日 至 2025年５月31日)
報告セグメントごとの売上高及び利益又は損失の金額に関する情報
(単位：百万円)
報告セグメント
その他
(注)１
合計
調整額
(注)２
四半期連結
損益計算書
計上額
(注)３
舶用事業 産業用事業
無線LAN・
ハンディタ
ーミナル事
業
計
売上高
 外部顧客への売上高 27,600 3,055 565 31,221 74 31,296 － 31,296
セグメント間の内部
売上高又は振替高 47 18 94 159 152 312 △312 －
計 27,647 3,074 659 31,381 227 31,608 △312 31,296
セグメント利益又は損
失（△） 3,942 △52 △225 3,664 △46 3,617 △179 3,438
(注)１ 「その他」の区分は、報告セグメントに含まれない事業セグメントであり、電磁環境試験事業等を含んでおり
ます。
２ セグメント利益又は損失（△）の調整額は、セグメント間取引消去であります。
３ セグメント利益又は損失（△）は、四半期連結損益計算書の営業利益と調整を行っております。
古野電気株式会社(6814) 2027年２月期 第１四半期決算短信
- 9 -
Ⅱ 当第１四半期連結累計期間(自 2026年３月１日 至 2026年５月31日)
報告セグメントごとの売上高及び利益又は損失の金額に関する情報
(単位：百万円)
報告セグメント
その他
(注)１
合計
調整額
(注)２
四半期連結
損益計算書
計上額
(注)３
舶用事業 産業用事業
無線LAN・
ハンディタ
ーミナル事
業
計
売上高
外部顧客への売上高 32,564 4,637 839 38,042 73 38,115 － 38,115
セグメント間の内部
売上高又は振替高 34 22 116 172 168 341 △341"
6823,2026年3月期決算概要微粒子計測器事業,34.10,explicit_sales_mix_v6,,,https://www.rion.co.jp/ir/library/news_260518.pdf,2026,"2026 年 3 月期 決算説明会 2026年5月18日 リオン株式会社 東京証券取引所プライム市場 証券コード＜6823＞ 2 免責事項 当社の開示資料に記載されている業績見通し等の将来に関する記述は、当社が現在入手している情報及 び合理的であると判断する一定の前提に基づいており、当社としてその実現を約束する趣旨のものでは ありません。様々な要因により、実際の業績等が変動する可能性があることをご承知おきください。実際 の業績に影響を与えうる重要な要素には、当社の事業領域を取り巻く経済情勢、為替レートの変動、競争 状況等があります。 この資料に含まれている製品（開発中のものを含む）に関する情報は、宣伝広告、医学的アドバイスを目的 としているものではありません。 3 01 2026 年 3 月期 決算概要 執行役員 経営企画本部長 入江 裕介 02 今後の事業環境と業績見通し 代表取締役社長 加藤 公規 4 01 2026 年 3 月期 決算概要 執行役員 経営企画本部長 入江 裕介 5 1. 2026年3月期 決算概要 微粒子計測器事業 34.1% 医療機器事業 44.7% 環境機器事業 21.2% 売上高構成比 微粒子計測器事業 97億円 微粒子計測器 主要製品 パーティクルカウンタ 生物粒子計数器 ターゲット市場 半導体製造工場 製薬・浄水場 127億円 主要製品 補聴器 医用検査機器 ターゲット市場 補聴器ユーザー 総合病院・クリニック 60億円 主要製品 騒音・振動計 ターゲット市場 建設・土木現場・工場 空港・インフラ・ダム等 医療機器事業 補聴器・医用検査機器 地震計 環境機器事業 音響・振動計測器 健診センター はじめに－３事業セグメント 6 連結業績 － 決算ハイライト 1. 2026年3月期 決算概要 • 売上高は5期連続、 営業利益・経常利益・当期純利益は3期連続で過去最高を更新 • 当期純利益は、前年度において本社敷地内の厚生施設の建て替えに伴う一時的な費用があったため、その反動から増 益幅が拡大した 売上高 28,501 百万円 営業利益 4,361 百万円 当期純利益 3,345 百万円 25,726 27,877 28,501 24/3期 25/3期 26/3期 3,474 4,033 4,361 24/3期 25/3期 26/3期 2,652 2,859 3,345 24/3期 25/3期 26/3期 +2.2% +8.1% +17.0% 7 全事業で過去最高の売上高を更新。特に環境機器事業の販売が好調に推移したことに加え、医療機器事業の販 売が回復基調にあることから、全体では2.2%増の28,501百万円となった。 営業利益 売上高 売上高の拡大に加え、人材投資（賃上げ等）による人件費の増加や新製品開発に伴う減価償却費等の増加が あったものの、その他費用の抑制を進めた結果、全体では前期比8.1%増の4,361百万円となり、過去最高を 更新した。 連結業績－決算概要 1. 2026年3月期 決算概要 2025年3月期 構成比 2026年3月期 構成比 増減額 増減率 売上高 27,877 100.0% 28,501 100.0% 624 2.2% 売上総利益 14,062 50.4% 14,057 49.3% △5 0.0% 販売費及び一般管理費 10,028 36.0% 9,695 34.0% △333 △3.3% 営業利益 4,033 14.5% 4,361 15.3% 327 8.1% 経常利益 4,106 14.7% 4,443 15.6% 337 8.2% 当期純利益 2,859 10.3% 3,345 11.7% 485 17.0% 1株当たり利益 232円19銭 271円41銭 （百万円） 8 営業利益の推移 1. 2026年3月期 決算概要 売上原価は、微粒子計測器事業で生産能力強化（クリーンルーム新設等）や新製品開発への投資を継続したことから増加。 販管費は、特に医療機器事業および環境機器事業での費用の効率化により減少"
6823,医療機器事業,44.70,explicit_sales_mix_v6,,,https://www.rion.co.jp/ir/library/news_260518.pdf,2026,"2026 年 3 月期 決算説明会 2026年5月18日 リオン株式会社 東京証券取引所プライム市場 証券コード＜6823＞ 2 免責事項 当社の開示資料に記載されている業績見通し等の将来に関する記述は、当社が現在入手している情報及 び合理的であると判断する一定の前提に基づいており、当社としてその実現を約束する趣旨のものでは ありません。様々な要因により、実際の業績等が変動する可能性があることをご承知おきください。実際 の業績に影響を与えうる重要な要素には、当社の事業領域を取り巻く経済情勢、為替レートの変動、競争 状況等があります。 この資料に含まれている製品（開発中のものを含む）に関する情報は、宣伝広告、医学的アドバイスを目的 としているものではありません。 3 01 2026 年 3 月期 決算概要 執行役員 経営企画本部長 入江 裕介 02 今後の事業環境と業績見通し 代表取締役社長 加藤 公規 4 01 2026 年 3 月期 決算概要 執行役員 経営企画本部長 入江 裕介 5 1. 2026年3月期 決算概要 微粒子計測器事業 34.1% 医療機器事業 44.7% 環境機器事業 21.2% 売上高構成比 微粒子計測器事業 97億円 微粒子計測器 主要製品 パーティクルカウンタ 生物粒子計数器 ターゲット市場 半導体製造工場 製薬・浄水場 127億円 主要製品 補聴器 医用検査機器 ターゲット市場 補聴器ユーザー 総合病院・クリニック 60億円 主要製品 騒音・振動計 ターゲット市場 建設・土木現場・工場 空港・インフラ・ダム等 医療機器事業 補聴器・医用検査機器 地震計 環境機器事業 音響・振動計測器 健診センター はじめに－３事業セグメント 6 連結業績 － 決算ハイライト 1. 2026年3月期 決算概要 • 売上高は5期連続、 営業利益・経常利益・当期純利益は3期連続で過去最高を更新 • 当期純利益は、前年度において本社敷地内の厚生施設の建て替えに伴う一時的な費用があったため、その反動から増 益幅が拡大した 売上高 28,501 百万円 営業利益 4,361 百万円 当期純利益 3,345 百万円 25,726 27,877 28,501 24/3期 25/3期 26/3期 3,474 4,033 4,361 24/3期 25/3期 26/3期 2,652 2,859 3,345 24/3期 25/3期 26/3期 +2.2% +8.1% +17.0% 7 全事業で過去最高の売上高を更新。特に環境機器事業の販売が好調に推移したことに加え、医療機器事業の販 売が回復基調にあることから、全体では2.2%増の28,501百万円となった。 営業利益 売上高 売上高の拡大に加え、人材投資（賃上げ等）による人件費の増加や新製品開発に伴う減価償却費等の増加が あったものの、その他費用の抑制を進めた結果、全体では前期比8.1%増の4,361百万円となり、過去最高を 更新した。 連結業績－決算概要 1. 2026年3月期 決算概要 2025年3月期 構成比 2026年3月期 構成比 増減額 増減率 売上高 27,877 100.0% 28,501 100.0% 624 2.2% 売上総利益 14,062 50.4% 14,057 49.3% △5 0.0% 販売費及び一般管理費 10,028 36.0% 9,695 34.0% △333 △3.3% 営業利益 4,033 14.5% 4,361 15.3% 327 8.1% 経常利益 4,106 14.7% 4,443 15.6% 337 8.2% 当期純利益 2,859 10.3% 3,345 11.7% 485 17.0% 1株当たり利益 232円19銭 271円41銭 （百万円） 8 営業利益の推移 1. 2026年3月期 決算概要 売上原価は、微粒子計測器事業で生産能力強化（クリーンルーム新設等）や新製品開発への投資を継続したことから増加。 販管費は、特に医療機器事業および環境機器事業での費用の効率化により減少"
6823,環境機器事業,21.20,explicit_sales_mix_v6,,,https://www.rion.co.jp/ir/library/news_260518.pdf,2026,"2026 年 3 月期 決算説明会 2026年5月18日 リオン株式会社 東京証券取引所プライム市場 証券コード＜6823＞ 2 免責事項 当社の開示資料に記載されている業績見通し等の将来に関する記述は、当社が現在入手している情報及 び合理的であると判断する一定の前提に基づいており、当社としてその実現を約束する趣旨のものでは ありません。様々な要因により、実際の業績等が変動する可能性があることをご承知おきください。実際 の業績に影響を与えうる重要な要素には、当社の事業領域を取り巻く経済情勢、為替レートの変動、競争 状況等があります。 この資料に含まれている製品（開発中のものを含む）に関する情報は、宣伝広告、医学的アドバイスを目的 としているものではありません。 3 01 2026 年 3 月期 決算概要 執行役員 経営企画本部長 入江 裕介 02 今後の事業環境と業績見通し 代表取締役社長 加藤 公規 4 01 2026 年 3 月期 決算概要 執行役員 経営企画本部長 入江 裕介 5 1. 2026年3月期 決算概要 微粒子計測器事業 34.1% 医療機器事業 44.7% 環境機器事業 21.2% 売上高構成比 微粒子計測器事業 97億円 微粒子計測器 主要製品 パーティクルカウンタ 生物粒子計数器 ターゲット市場 半導体製造工場 製薬・浄水場 127億円 主要製品 補聴器 医用検査機器 ターゲット市場 補聴器ユーザー 総合病院・クリニック 60億円 主要製品 騒音・振動計 ターゲット市場 建設・土木現場・工場 空港・インフラ・ダム等 医療機器事業 補聴器・医用検査機器 地震計 環境機器事業 音響・振動計測器 健診センター はじめに－３事業セグメント 6 連結業績 － 決算ハイライト 1. 2026年3月期 決算概要 • 売上高は5期連続、 営業利益・経常利益・当期純利益は3期連続で過去最高を更新 • 当期純利益は、前年度において本社敷地内の厚生施設の建て替えに伴う一時的な費用があったため、その反動から増 益幅が拡大した 売上高 28,501 百万円 営業利益 4,361 百万円 当期純利益 3,345 百万円 25,726 27,877 28,501 24/3期 25/3期 26/3期 3,474 4,033 4,361 24/3期 25/3期 26/3期 2,652 2,859 3,345 24/3期 25/3期 26/3期 +2.2% +8.1% +17.0% 7 全事業で過去最高の売上高を更新。特に環境機器事業の販売が好調に推移したことに加え、医療機器事業の販 売が回復基調にあることから、全体では2.2%増の28,501百万円となった。 営業利益 売上高 売上高の拡大に加え、人材投資（賃上げ等）による人件費の増加や新製品開発に伴う減価償却費等の増加が あったものの、その他費用の抑制を進めた結果、全体では前期比8.1%増の4,361百万円となり、過去最高を 更新した。 連結業績－決算概要 1. 2026年3月期 決算概要 2025年3月期 構成比 2026年3月期 構成比 増減額 増減率 売上高 27,877 100.0% 28,501 100.0% 624 2.2% 売上総利益 14,062 50.4% 14,057 49.3% △5 0.0% 販売費及び一般管理費 10,028 36.0% 9,695 34.0% △333 △3.3% 営業利益 4,033 14.5% 4,361 15.3% 327 8.1% 経常利益 4,106 14.7% 4,443 15.6% 337 8.2% 当期純利益 2,859 10.3% 3,345 11.7% 485 17.0% 1株当たり利益 232円19銭 271円41銭 （百万円） 8 営業利益の推移 1. 2026年3月期 決算概要 売上原価は、微粒子計測器事業で生産能力強化（クリーンルーム新設等）や新製品開発への投資を継続したことから増加。 販管費は、特に医療機器事業および環境機器事業での費用の効率化により減少"
6834,及び管理部門,33.11,external_customer_sales_table_v6,9963178.0,30087881.0,https://www.seikoh-giken.co.jp/irinfo/pdf/sec_2026_2.pdf,2026,"2,091,639 1,996,297 1,348,771 19,982,809
当連結会計年度（自2025年４月１日 至2026年３月31日）
 （注）１．前連結会計年度のセグメント資産の調整額12,276,244千円は、報告セグメントに帰属しない全社資産であ
り、主に余資運用資金（現金及び預金）及び管理部門に係る資産等であります。また、当連結会計年度のセ
グメント資産の調整額15,772,670千円は、報告セグメントに帰属しない全社資産であり、主に余資運用資金
（現金及び預金）及び管理部門に係る資産等であります。
２．前連結会計年度の有形固定資産及び無形固定資産の増加額の調整額59,807千円は、主に報告セグメントに帰
属しない全社資産の投資額であります。また、当連結会計年度の有形固定資産及び無形固定資産の増加額の
調整額89,752千円は、主に報告セグメントに帰属しない全社資産の投資額であります。
３．セグメント利益は、連結損益計算書の営業利益と一致しております。
【関連情報】
前連結会計年度（自 2024年４月１日 至 2025年３月31日）
１．製品及びサービスごとの情報
２．地域ごとの情報
(1）売上高
 （注）売上高は、顧客の所在地を基礎とし、国又は地域に分類しております。
- 77 -
（単位：千円）
日本 北米 中国 その他アジア ヨーロッパ 合計
6,223,913 6,189 1,644,579 114,500 143,319 8,132,501
（単位：千円）
顧客の名称又は氏名 売上高 関連するセグメント名
株式会社デンソー 5,022,442 精機関連
株式会社豊田自動織機 2,202,642 精機関連
（単位：千円）
精機関連 光製品関連 合計
 外部顧客への売上高 9,963,178 20,124,703 30,087,881
（単位：千円）
日本 アメリカ メキシコ その他北米 中国 その他アジア ヨーロッパ 合計
11,918,382 3,846,650 4,743,965 168,115 4,042,108 3,652,328 1,716,331 30,087,881
（単位：千円）
日本 北米 中国 その他アジア ヨーロッパ 合計
6,360,122 33,127 1,735,923 128,689 306,105 8,563,969
（単位：千円）
顧客の名称又は氏名 売上高 関連するセグメント名
株式会社デンソー 5,337,351 精機関連
Corning Optical Communications, S.de 
R.L.de C.V. 3,152,732 光製品関連
(2）有形固定資産
３．主要な顧客ごとの情報
当連結会計年度（自 2025年４月１日 至 2026年３月31日）
１．製品及びサービスごとの情報
２．地域ごとの情報
(1）売上高
 （注）売上高は、顧客の所在地を基礎とし、国又は地域に分類しております。
（表示方法の変更）
 前連結会計年度において、「北米」に含めていた「アメリカ」、「メキシコ」の売上高は、金額的重要性が増した
ため、当連結会計年度より区分掲記することとしております。この表示方法を反映させるため、前連結会計年度の表
示の組み替えを行っております。
 この結果、前連結会計年度の「北米」3,680"
6834,製品及びサービス,66.89,external_customer_sales_table_v6,20124703.0,30087881.0,https://www.seikoh-giken.co.jp/irinfo/pdf/sec_2026_2.pdf,2026,"2,091,639 1,996,297 1,348,771 19,982,809
当連結会計年度（自2025年４月１日 至2026年３月31日）
 （注）１．前連結会計年度のセグメント資産の調整額12,276,244千円は、報告セグメントに帰属しない全社資産であ
り、主に余資運用資金（現金及び預金）及び管理部門に係る資産等であります。また、当連結会計年度のセ
グメント資産の調整額15,772,670千円は、報告セグメントに帰属しない全社資産であり、主に余資運用資金
（現金及び預金）及び管理部門に係る資産等であります。
２．前連結会計年度の有形固定資産及び無形固定資産の増加額の調整額59,807千円は、主に報告セグメントに帰
属しない全社資産の投資額であります。また、当連結会計年度の有形固定資産及び無形固定資産の増加額の
調整額89,752千円は、主に報告セグメントに帰属しない全社資産の投資額であります。
３．セグメント利益は、連結損益計算書の営業利益と一致しております。
【関連情報】
前連結会計年度（自 2024年４月１日 至 2025年３月31日）
１．製品及びサービスごとの情報
２．地域ごとの情報
(1）売上高
 （注）売上高は、顧客の所在地を基礎とし、国又は地域に分類しております。
- 77 -
（単位：千円）
日本 北米 中国 その他アジア ヨーロッパ 合計
6,223,913 6,189 1,644,579 114,500 143,319 8,132,501
（単位：千円）
顧客の名称又は氏名 売上高 関連するセグメント名
株式会社デンソー 5,022,442 精機関連
株式会社豊田自動織機 2,202,642 精機関連
（単位：千円）
精機関連 光製品関連 合計
 外部顧客への売上高 9,963,178 20,124,703 30,087,881
（単位：千円）
日本 アメリカ メキシコ その他北米 中国 その他アジア ヨーロッパ 合計
11,918,382 3,846,650 4,743,965 168,115 4,042,108 3,652,328 1,716,331 30,087,881
（単位：千円）
日本 北米 中国 その他アジア ヨーロッパ 合計
6,360,122 33,127 1,735,923 128,689 306,105 8,563,969
（単位：千円）
顧客の名称又は氏名 売上高 関連するセグメント名
株式会社デンソー 5,337,351 精機関連
Corning Optical Communications, S.de 
R.L.de C.V. 3,152,732 光製品関連
(2）有形固定資産
３．主要な顧客ごとの情報
当連結会計年度（自 2025年４月１日 至 2026年３月31日）
１．製品及びサービスごとの情報
２．地域ごとの情報
(1）売上高
 （注）売上高は、顧客の所在地を基礎とし、国又は地域に分類しております。
（表示方法の変更）
 前連結会計年度において、「北米」に含めていた「アメリカ」、「メキシコ」の売上高は、金額的重要性が増した
ため、当連結会計年度より区分掲記することとしております。この表示方法を反映させるため、前連結会計年度の表
示の組み替えを行っております。
 この結果、前連結会計年度の「北米」3,680"
6840,HPC事業,9.96,external_customer_sales_table_v6,435441.0,4373154.0,https://www.akiba-holdings.co.jp/wp-content/uploads/2026/07/2027.03.1Q.pdf,2027,"事業税 36,239 176,860
法人税等調整額 △9,858 △16,618
法人税等合計 26,381 160,241
四半期純利益 72,734 297,561
非支配株主に帰属する四半期純利益 8,376 32,808
親会社株主に帰属する四半期純利益 64,358 264,752
（２）四半期連結損益計算書及び四半期連結包括利益計算書
（四半期連結損益計算書）
- 8 -
株式会社ＡＫＩＢＡホールディングス(6840) 2027年３月期 第１四半期決算短信
（単位：千円）
 前第１四半期連結累計期間
(自 2025年４月１日
 至 2025年６月30日)
 当第１四半期連結累計期間
(自 2026年４月１日
 至 2026年６月30日)
四半期純利益 72,734 297,561
その他の包括利益
繰延ヘッジ損益 △260 6,442
その他の包括利益合計 △260 6,442
四半期包括利益 72,473 304,003
（内訳）
親会社株主に係る四半期包括利益 64,097 271,195
非支配株主に係る四半期包括利益 8,376 32,808
（四半期連結包括利益計算書）
- 9 -
株式会社ＡＫＩＢＡホールディングス(6840) 2027年３月期 第１四半期決算短信
（単位：千円）
報告セグメント
その他
（注）３．
調整額
（注）２．
四半期連結
損益計算書
計上額
（注）１．
メモリ・PC関
連デバイス・
IoT事業
通信建設
テック事業 HPC事業 小計
売上高
顧客との契約から
生じる収益 2,117,973 1,751,850 435,441 4,305,264 67,889 － 4,373,154
その他の収益 － － － － － － －
 外部顧客への売上高 2,117,973 1,751,850 435,441 4,305,264 67,889 － 4,373,154
セグメント間の内部
売上高又は振替高 124 460 － 584 － △584 －
計 2,118,097 1,752,310 435,441 4,305,848 67,889 △584 4,373,154
セグメント利益又はセ
グメント損失（△） 5,556 33,420 37,009 75,986 △1,551 27,042 101,477
（３）四半期連結財務諸表に関する注記事項
（セグメント情報等の注記）
【セグメント情報】
Ⅰ 前第１四半期連結累計期間（自 2025年４月１日 至 2025年６月30日）
１．報告セグメントごとの売上高及び利益又は損失の金額に関する情報並びに収益の分解情報
（注）１．セグメント利益又はセグメント損失（△）は四半期連結損益計算書の営業利益と一致しております。
２．セグメント利益又はセグメント損失（△）の調整額27,042千円には、各報告セグメントに配分していない全
社費用△107,132千円及びその他調整額134,175千円が含まれております。全社費用は、主に報告セグメント
に帰属しない人件費及び一般管理費であります。その他調整額は、主にセグメントに帰属しない持株会社に
対する経営指導料等の消去であります。
３．「その他」の区分は報告セグメントに含まれない事業セグメントであります。
- 10 -
株式会社ＡＫＩＢＡホールディン"
