batch,stock_code,yahoo_ticker,company_name,theme_count
11,9211,9211.T,エフ・コード,4
11,9212,9212.T,9212.T,1
11,9214,9214.T,9214.T,2
11,9215,9215.T,9215.T,2
11,9216,9216.T,ビーウィズ,5
11,9218,9218.T,9218.T,2
11,9219,9219.T,ギックス,3
11,9220,9220.T,9220.T,1
11,9221,9221.T,9221.T,1
11,9223,9223.T,9223.T,2
11,9225,9225.T,ブリッジＧ,2
11,9227,9227.T,マイクロ波,4
11,9229,9229.T,9229.T,1
11,9233,9233.T,9233.T,5
11,9235,9235.T,売れるＧ,1
11,9237,9237.T,9237.T,1
11,9238,9238.T,9238.T,2
11,9240,9240.T,デリバリコン,5
11,9241,9241.T,ＦＬネット,3
11,9245,9245.T,9245.T,1
11,9246,9246.T,プロＨＤ,3
11,9247,9247.T,9247.T,3
11,9248,9248.T,9248.T,3
11,9249,9249.T,エコシステム,4
11,9250,9250.T,9250.T,5
11,9252,9252.T,9252.T,2
11,9253,9253.T,9253.T,2
11,9254,9254.T,ラバブルＭＧ,4
11,9256,9256.T,9256.T,1
11,9257,9257.T,,1
11,9258,9258.T,ＣＳ－Ｃ,5
11,9262,9262.T,9262.T,4
11,9264,9264.T,9264.T,2
11,9265,9265.T,9265.T,1
11,9267,9267.T,9267.T,1
11,9268,9268.T,9268.T,2
11,9271,9271.T,9271.T,3
11,9272,9272.T,9272.T,3
11,9278,9278.T,9278.T,3
11,9279,9279.T,9279.T,1
11,9301,9301.T,9301.T,4
11,9302,9302.T,9302.T,4
11,9303,9303.T,9303.T,5
11,9304,9304.T,9304.T,5
11,9305,9305.T,9305.T,3
11,9306,9306.T,9306.T,4
11,9307,9307.T,9307.T,3
11,9308,9308.T,9308.T,4
11,9310,9310.T,9310.T,5
11,9311,9311.T,9311.T,3
11,9312,9312.T,9312.T,3
11,9313,9313.T,9313.T,3
11,9319,9319.T,9319.T,2
11,9322,9322.T,9322.T,4
11,9324,9324.T,9324.T,6
11,9325,9325.T,9325.T,2
11,9326,9326.T,9326.T,3
11,9327,9327.T,9327.T,2
11,9330,9330.T,揚羽,2
11,9331,9331.T,9331.T,1
11,9332,9332.T,9332.T,1
11,9336,9336.T,9336.T,1
11,9337,9337.T,9337.T,1
11,9340,9340.T,9340.T,2
11,9341,9341.T,9341.T,1
11,9342,9342.T,9342.T,4
11,9343,9343.T,9343.T,3
11,9344,9344.T,アクシスＣ,1
11,9347,9347.T,9347.T,3
11,9348,9348.T,アイスペース,3
11,9351,9351.T,9351.T,4
11,9353,9353.T,9353.T,2
11,9355,9355.T,9355.T,4
11,9357,9357.T,,4
11,9359,9359.T,,3
11,9360,9360.T,9360.T,10
11,9361,9361.T,9361.T,7
11,9362,9362.T,9362.T,3
11,9363,9363.T,9363.T,3
11,9364,9364.T,9364.T,2
11,9365,9365.T,9365.T,3
11,9366,9366.T,9366.T,3
11,9367,9367.T,9367.T,4
11,9368,9368.T,9368.T,3
11,9369,9369.T,9369.T,3
11,9376,9376.T,ユーラシア,2
11,9380,9380.T,9380.T,6
11,9388,9388.T,,1
11,9401,9401.T,9401.T,1
11,9402,9402.T,,1
11,9405,9405.T,9405.T,1
11,9407,9407.T,,1
11,9408,9408.T,9408.T,1
11,9412,9412.T,9412.T,2
11,9416,9416.T,9416.T,4
11,9417,9417.T,9417.T,7
11,9418,9418.T,ＵＮＥＸＴ,4
11,9419,9419.T,9419.T,3
11,9421,9421.T,9421.T,1
11,9423,9423.T,9423.T,1
11,9424,9424.T,9424.T,3
11,9425,9425.T,ＲｅＹｕｕ,4
11,9428,9428.T,9428.T,1
11,9432,9432.T,ＮＴＴ,29
11,9433,9433.T,ＫＤＤＩ,14
11,9434,9434.T,ＳＢ,11
11,9435,9435.T,9435.T,1
11,9438,9438.T,ＭＴＩ,5
11,9439,9439.T,ＭＨグループ,3
11,9444,9444.T,9444.T,2
11,9445,9445.T,9445.T,4
11,9446,9446.T,9446.T,2
11,9449,9449.T,ＧＭＯ,8
11,9450,9450.T,9450.T,4
11,9466,9466.T,9466.T,1
11,9468,9468.T,カドカワ,5
11,9470,9470.T,9470.T,2
11,9471,9471.T,,1
11,9474,9474.T,ゼンリン,8
11,9475,9475.T,9475.T,4
11,9478,9478.T,9478.T,1
11,9501,9501.T,東電ＨＤ,12
11,9502,9502.T,中部電,9
11,9503,9503.T,関西電,11
11,9504,9504.T,中国電,8
11,9505,9505.T,北陸電,8
11,9506,9506.T,東北電,8
11,9507,9507.T,四国電,7
11,9508,9508.T,九州電,11
11,9509,9509.T,北海電,9
11,9511,9511.T,沖縄電,6
