batch,stock_code,long_name,website,theme_specs
1,137A,"Cocolive, Inc.",https://cocolive.co.jp,"サブスクリプション[cur=8,grow=5,prior=7]"
1,138A,"Hikari Food Service Co., Ltd.",https://www.hikari-food-service.jp,"小売り[cur=8,grow=5,prior=7]"
1,1401,Mbs Inc,https://www.homemakeup.co.jp,"住宅関連[cur=8,grow=5,prior=7] ; 耐震化[cur=8,grow=5,prior=7]"
1,1414,"SHO-BOND Holdings Co.,Ltd.",https://www.sho-bondhd.jp,"耐震化[cur=58,grow=56,prior=57] ; 防災[cur=42,grow=40,prior=41]"
1,1417,MIRAIT ONE Corporation,https://www.mirait-one.com,"データセンター[cur=58,grow=56,prior=57] ; ドローン[cur=8,grow=5,prior=7] ; 光ファイバー[cur=8,grow=5,prior=7] ; 太陽光発電関連[cur=8,grow=5,prior=7]"
1,141A,"TRIAL Holdings, Inc.",https://www.trial-holdings.inc,"外食[cur=58,grow=46,prior=54] ; 物流[cur=42,grow=30,prior=38] ; 食品[cur=42,grow=30,prior=38]"
1,1420,Sanyo Homes Corporation,https://www.sanyohomes.co.jp,"介護関連[cur=8,grow=5,prior=7]"
1,1431,"Lib Work Co.,Ltd.",https://www.libwork.co.jp,"SaaS[cur=8,grow=5,prior=7] ; サブスクリプション[cur=8,grow=5,prior=7] ; 建設[cur=42,grow=30,prior=38]"
1,1433,"Besterra Co., Ltd.",https://www.besterra.co.jp,"原子力発電[cur=8,grow=5,prior=7] ; 脱炭素[cur=8,grow=5,prior=7]"
1,1435,"Robot Home, Inc.",https://corp.robothome.jp,"不動産テック[cur=8,grow=5,prior=7] ; 不動産ファンド[cur=8,grow=5,prior=7]"
1,1436,GreenEnergy & Company Inc.,https://green-energy.co.jp,"住宅関連[cur=42,grow=42,prior=42]"
1,1438,"Gifu landscape architect Co., Ltd.",https://www.gifu-zohen.co.jp,"住宅関連[cur=8,grow=5,prior=7] ; 太陽光発電関連[cur=8,grow=5,prior=7]"
1,143A,"Ishin Co., Ltd.",https://ishin1853.co.jp,"デジタルトランスフォーメーション[cur=42,grow=30,prior=38] ; 防災[cur=8,grow=5,prior=7]"
1,1443,"Giken Holdings Co., Ltd.",https://www.giken-hd.co.jp,"防災[cur=8,grow=5,prior=7]"
