week_start,week_end,ranking,rank,theme,cluster,volume_change_pct,weekly_return_median_pct,weekly_return_mean_pct,breadth_positive_pct,weekly_volume,member_count,valid_return_count,next_week_return_pct
2023-09-04,2023-09-08,volume_top15,1,海運,物流・海運,89.1397,0.5874,0.5944,56.5217,173835108.81,24,23,1.7504
2023-09-04,2023-09-08,volume_top15,2,建設,不動産・建設,49.8447,0.6027,0.617,63.7795,51873327.32,144,127,1.7274
2023-09-04,2023-09-08,volume_top15,3,AIエージェント,AI・半導体,46.3089,-2.0294,-1.3936,25.8065,32302049.26,37,31,-0.2918
2023-09-04,2023-09-08,volume_top15,4,不動産ファンド,不動産・建設,39.4736,1.4594,3.5225,70.0,25798792.38,24,20,0.2123
2023-09-04,2023-09-08,volume_top15,5,鉄鋼,資源・素材,37.9182,1.6308,1.6341,79.5455,72771547.04,45,44,2.3853
2023-09-04,2023-09-08,volume_top15,6,都市鉱山,資源・素材,34.7077,0.2157,0.7114,53.5714,48468186.26,29,28,1.9562
2023-09-04,2023-09-08,volume_top15,7,建設機械,設備投資・機械,33.3365,1.6072,1.929,76.1194,48354876.72,68,67,2.1498
2023-09-04,2023-09-08,volume_top15,8,港湾運送,物流・海運,30.9759,0.1857,-0.0124,52.381,3605882.14,23,21,0.547
2023-09-04,2023-09-08,volume_top15,9,耐震化,防衛・国土強靱化,30.0774,0.8545,1.1906,65.7534,77898288.56,76,73,2.0415
2023-09-04,2023-09-08,volume_top15,10,ロボット,AI・半導体,29.8918,-0.2628,0.9405,44.5255,146440692.36,140,137,1.0716
2023-09-04,2023-09-08,volume_top15,11,円安メリット,内需・消費,29.7239,0.0954,0.6467,50.8475,458735180.52,119,118,1.8819
2023-09-04,2023-09-08,volume_top15,12,自動車軽量化,自動車・モビリティ,29.118,0.1189,0.1767,50.0,82486216.88,48,48,2.9329
2023-09-04,2023-09-08,volume_top15,13,リチウムイオン電池,自動車・モビリティ,27.8853,0.2961,0.434,56.0,51818564.09,25,25,2.2351
2023-09-04,2023-09-08,volume_top15,14,3Dプリンター,設備投資・機械,27.1969,0.3768,1.3652,57.6271,69862080.95,61,59,1.9171
2023-09-04,2023-09-08,volume_top15,15,宇宙開発関連,防衛・国土強靱化,26.3471,0.3318,0.3416,53.3333,87259126.05,94,90,1.1108
2023-09-04,2023-09-08,volume_bottom15,1,小売り,内需・消費,-26.3736,0.0719,0.2181,50.7143,123305191.59,157,140,0.4088
2023-09-04,2023-09-08,volume_bottom15,2,創薬,医療・ヘルスケア,-23.0433,-1.9802,-1.0701,33.3333,42858090.71,49,39,-1.5584
2023-09-04,2023-09-08,volume_bottom15,3,不動産テック,不動産・建設,-19.7014,-0.2949,-0.3922,47.8261,4168976.79,30,23,-1.8856
2023-09-04,2023-09-08,volume_bottom15,4,電力会社,データセンター・電力,-19.4655,-0.5261,0.0667,45.4545,23362530.67,25,22,8.076
2023-09-04,2023-09-08,volume_bottom15,5,インバウンド,内需・消費,-15.7956,-0.2096,-0.4206,42.6357,162084660.59,135,129,0.2332
2023-09-04,2023-09-08,volume_bottom15,6,外食,内需・消費,-14.6195,0.2092,0.3508,52.1472,142020419.05,179,163,0.369
2023-09-04,2023-09-08,volume_bottom15,7,旅行,内需・消費,-13.6283,-0.9904,-2.0703,36.0,44442972.42,56,50,0.1805
2023-09-04,2023-09-08,volume_bottom15,8,宅配,物流・海運,-13.2945,0.0,0.1764,46.9388,47809863.33,54,49,0.3593
2023-09-04,2023-09-08,volume_bottom15,9,物流テック,設備投資・機械,-11.9117,-0.9503,-0.9988,20.0,981464.17,13,10,0.2376
2023-09-04,2023-09-08,volume_bottom15,10,食品,内需・消費,-10.7113,0.1152,0.4625,53.5354,116731501.11,108,99,1.0359
2023-09-04,2023-09-08,volume_bottom15,11,受変電設備,データセンター・電力,-9.7326,0.1841,0.9105,50.0,363683.33,7,6,1.1192
2023-09-04,2023-09-08,volume_bottom15,12,ゲーム関連,デジタル・サービス,-7.7106,-1.3732,-0.7366,25.7576,168484954.33,68,66,-0.5448
2023-09-04,2023-09-08,volume_bottom15,13,金,資源・素材,-7.6256,0.0,0.2768,46.6667,7031308.4,21,15,2.1282
2023-09-04,2023-09-08,volume_bottom15,14,下水道,防衛・国土強靱化,-6.6294,0.3992,0.8189,58.0,9932733.29,58,50,0.6699
2023-09-04,2023-09-08,volume_bottom15,15,自動車製造装置,自動車・モビリティ,-5.8799,-0.1698,0.0431,47.0588,17940373.04,54,51,1.1472
2023-09-04,2023-09-08,return_top15,1,金利上昇メリット,金融・金利,21.8667,2.4373,2.7866,89.0244,254026345.24,86,82,6.3924
2023-09-04,2023-09-08,return_top15,2,地方銀行,金融・金利,26.1891,2.4233,2.8564,88.4058,60040520.0,73,69,6.398
2023-09-04,2023-09-08,return_top15,3,銀行,金融・金利,14.6194,2.3419,2.5195,86.747,215635901.35,89,83,6.3716
2023-09-04,2023-09-08,return_top15,4,リース,金融・金利,7.8185,2.3419,2.3478,81.1594,161240656.84,73,69,4.407
2023-09-04,2023-09-08,return_top15,5,証券,金融・金利,5.8515,2.1685,2.4529,87.5,208132466.18,42,40,3.8107
2023-09-04,2023-09-08,return_top15,6,再開発,不動産・建設,0.9764,2.106,2.5118,82.3529,26906296.65,19,17,2.3502
2023-09-04,2023-09-08,return_top15,7,鉄鋼,資源・素材,37.9182,1.6308,1.6341,79.5455,72771547.04,45,44,2.3853
2023-09-04,2023-09-08,return_top15,8,建設機械,設備投資・機械,33.3365,1.6072,1.929,76.1194,48354876.72,68,67,2.1498
2023-09-04,2023-09-08,return_top15,9,資源開発,資源・素材,17.4359,1.6043,2.4413,80.9524,49973173.38,23,21,4.9738
2023-09-04,2023-09-08,return_top15,10,ネット銀行,金融・金利,-3.0155,1.5784,1.638,78.5714,75853761.9,15,14,5.5075
2023-09-04,2023-09-08,return_top15,11,保険,金融・金利,3.1,1.4639,0.9192,66.6667,110294633.61,37,33,1.2964
2023-09-04,2023-09-08,return_top15,12,不動産ファンド,不動産・建設,39.4736,1.4594,3.5225,70.0,25798792.38,24,20,0.2123
2023-09-04,2023-09-08,return_top15,13,半導体商社,AI・半導体,6.0561,1.4224,1.2665,83.3333,3879290.0,21,18,1.9668
2023-09-04,2023-09-08,return_top15,14,マンション関連,不動産・建設,1.7613,1.3572,1.6615,78.481,45535072.7,86,79,1.795
2023-09-04,2023-09-08,return_top15,15,総合商社,資源・素材,2.8361,1.291,1.4539,100.0,23622405.83,7,7,3.1001
2023-09-04,2023-09-08,return_bottom15,1,AIエージェント,AI・半導体,46.3089,-2.0294,-1.3936,25.8065,32302049.26,37,31,-0.2918
2023-09-04,2023-09-08,return_bottom15,2,創薬,医療・ヘルスケア,-23.0433,-1.9802,-1.0701,33.3333,42858090.71,49,39,-1.5584
2023-09-04,2023-09-08,return_bottom15,3,生成AI,AI・半導体,14.6633,-1.4696,-1.0393,29.6296,167984160.92,151,135,-0.6715
2023-09-04,2023-09-08,return_bottom15,4,ゲーム関連,デジタル・サービス,-7.7106,-1.3732,-0.7366,25.7576,168484954.33,68,66,-0.5448
2023-09-04,2023-09-08,return_bottom15,5,遠隔医療,医療・ヘルスケア,16.2291,-1.0382,-0.1943,35.7143,43435557.68,29,28,0.7563
2023-09-04,2023-09-08,return_bottom15,6,データベース,デジタル・サービス,5.7158,-1.0309,-0.8817,37.8378,13201885.73,46,37,-2.2385
2023-09-04,2023-09-08,return_bottom15,7,旅行,内需・消費,-13.6283,-0.9904,-2.0703,36.0,44442972.42,56,50,0.1805
2023-09-04,2023-09-08,return_bottom15,8,物流テック,設備投資・機械,-11.9117,-0.9503,-0.9988,20.0,981464.17,13,10,0.2376
2023-09-04,2023-09-08,return_bottom15,9,SaaS,デジタル・サービス,10.5304,-0.9363,-0.4395,35.625,65931202.32,192,160,-1.5607
2023-09-04,2023-09-08,return_bottom15,10,デジタルトランスフォーメーション,デジタル・サービス,-3.8604,-0.9363,-0.9578,38.1148,45094889.31,306,244,-0.9501
2023-09-04,2023-09-08,return_bottom15,11,データ分析・解析,AI・半導体,12.2345,-0.8746,0.1132,34.9515,23480433.87,124,103,-1.0067
2023-09-04,2023-09-08,return_bottom15,12,教育ICT,デジタル・サービス,7.2832,-0.8681,-0.5072,38.6364,29497503.05,47,44,0.1393
2023-09-04,2023-09-08,return_bottom15,13,自動車電子化,自動車・モビリティ,18.4701,-0.8653,-0.645,38.2353,71681702.74,34,34,1.7763
2023-09-04,2023-09-08,return_bottom15,14,バイオテクノロジー関連,医療・ヘルスケア,8.8723,-0.8356,-0.1385,41.0256,85816730.93,84,78,0.0493
2023-09-04,2023-09-08,return_bottom15,15,ホームヘルスケア,医療・ヘルスケア,-0.9488,-0.7553,-0.7699,36.8421,16520284.17,20,19,1.1221
2023-09-11,2023-09-15,volume_top15,1,電力会社,データセンター・電力,49.3041,8.076,5.2473,81.8182,34881206.78,25,22,-3.5195
2023-09-11,2023-09-15,volume_top15,2,銀行,金融・金利,42.8963,6.3716,6.4976,96.3855,308135663.89,89,83,1.3075
2023-09-11,2023-09-15,volume_top15,3,3Dプリンター,設備投資・機械,41.169,1.9171,1.3772,71.1864,98623574.31,61,59,-1.4686
2023-09-11,2023-09-15,volume_top15,4,マンション関連,不動産・建設,40.894,1.795,1.9034,74.6835,64156196.94,86,79,-0.8052
