strategy,ticker,signal_date,entry_date,entry_open,volume_rank,volume_change_pct,overheat_score,confirmation_score,signal_score,rsi14,return_1d_pct,return_5d_pct_at_signal,return_20d_pct_at_signal,ma20_deviation_pct,gap_pct,range_atr,close_location,turnover20_yen,return_5d_pct,mfe_5d_pct,mae_5d_pct,hit_plus5_5d,hit_minus5_5d,return_10d_pct,mfe_10d_pct,mae_10d_pct,hit_plus5_10d,hit_minus5_10d,return_20d_pct,mfe_20d_pct,mae_20d_pct,hit_plus5_20d,hit_minus5_20d
oh20_confirm12,9348.T,2023-09-19,2023-09-20,1478.0,28,122.4975,0,18,88.0,47.61,1.848,0.202,2.55,-2.0215,-0.3422,0.851,1.0,508194205.0,-5.2774,0.203,-5.2774,0,1,-12.0433,0.203,-17.7943,0,1,-44.7226,0.203,-45.8051,0,1
oh20_confirm12,6050.T,2023-09-19,2023-09-20,2532.27,47,97.4026,0,30,100,55.91,0.5707,0.6472,0.6856,0.5801,0.2281,0.759,0.923,408860445.55,2.2675,2.4188,-0.0375,0,0,-21.2398,3.3729,-21.8121,0,1,-34.3285,3.3729,-35.0152,0,1
oh20_confirm12,3167.T,2023-09-19,2023-09-20,854.55,70,70.7241,0,30,100,61.4,0.1059,1.1831,3.5207,0.7764,0.0,1.196,0.9,317063355.0,0.7407,1.1632,-1.3762,0,0,-1.0977,1.2697,-1.3762,0,0,1.2697,1.7003,-1.8513,0,0
oh20_confirm12,8938.T,2023-09-19,2023-09-20,1236.37,78,67.6162,0,18,88.0,43.05,1.8782,-9.2358,-15.8461,-5.8003,0.0,1.205,1.0,195521698.5,1.8546,4.7583,-6.532,0,1,-7.4193,8.1448,-7.4193,1,1,2.0164,8.1448,-10.8875,1,1
oh20_confirm12,6140.T,2023-09-19,2023-09-20,847.0,88,57.3978,5,30,96.5,68.89,1.6398,2.4235,6.0436,3.2477,-0.1093,1.495,1.0,161293055.75,-1.719,0.6446,-3.6529,0,0,-4.8878,0.6446,-4.8878,0,0,-4.0142,0.6446,-7.9457,0,1
oh20_confirm18,9348.T,2023-09-19,2023-09-20,1478.0,28,122.4975,0,18,88.0,47.61,1.848,0.202,2.55,-2.0215,-0.3422,0.851,1.0,508194205.0,-5.2774,0.203,-5.2774,0,1,-12.0433,0.203,-17.7943,0,1,-44.7226,0.203,-45.8051,0,1
oh20_confirm18,6050.T,2023-09-19,2023-09-20,2532.27,47,97.4026,0,30,100,55.91,0.5707,0.6472,0.6856,0.5801,0.2281,0.759,0.923,408860445.55,2.2675,2.4188,-0.0375,0,0,-21.2398,3.3729,-21.8121,0,1,-34.3285,3.3729,-35.0152,0,1
oh20_confirm18,3167.T,2023-09-19,2023-09-20,854.55,70,70.7241,0,30,100,61.4,0.1059,1.1831,3.5207,0.7764,0.0,1.196,0.9,317063355.0,0.7407,1.1632,-1.3762,0,0,-1.0977,1.2697,-1.3762,0,0,1.2697,1.7003,-1.8513,0,0
oh20_confirm18,8938.T,2023-09-19,2023-09-20,1236.37,78,67.6162,0,18,88.0,43.05,1.8782,-9.2358,-15.8461,-5.8003,0.0,1.205,1.0,195521698.5,1.8546,4.7583,-6.532,0,1,-7.4193,8.1448,-7.4193,1,1,2.0164,8.1448,-10.8875,1,1
oh20_confirm18,6140.T,2023-09-19,2023-09-20,847.0,88,57.3978,5,30,96.5,68.89,1.6398,2.4235,6.0436,3.2477,-0.1093,1.495,1.0,161293055.75,-1.719,0.6446,-3.6529,0,0,-4.8878,0.6446,-4.8878,0,0,-4.0142,0.6446,-7.9457,0,1
