ticker,status,rows,expected_date,latest_date,missing_sessions,invalid_rows,zero_volume_rows
1301.T,ready,120,2026-09-11,2026-09-11,0,0,0
130A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1332.T,ready,120,2026-09-11,2026-09-11,0,0,0
1333.T,ready,120,2026-09-11,2026-09-11,0,0,0
135A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1375.T,ready,120,2026-09-11,2026-09-11,0,0,0
1376.T,ready,120,2026-09-11,2026-09-11,0,0,0
1377.T,ready,120,2026-09-11,2026-09-11,0,0,0
1379.T,ready,120,2026-09-11,2026-09-11,0,0,0
137A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
1380.T,zero_volume,120,2026-09-11,2026-09-11,0,0,3
1381.T,ready,120,2026-09-11,2026-09-11,0,0,0
1382.T,ready,120,2026-09-11,2026-09-11,0,0,0
1383.T,ready,120,2026-09-11,2026-09-11,0,0,0
1384.T,ready,120,2026-09-11,2026-09-11,0,0,0
138A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1401.T,ready,120,2026-09-11,2026-09-11,0,0,0
1407.T,ready,120,2026-09-11,2026-09-11,0,0,0
1414.T,ready,120,2026-09-11,2026-09-11,0,0,0
1417.T,ready,120,2026-09-11,2026-09-11,0,0,0
1418.T,ready,120,2026-09-11,2026-09-11,0,0,0
1419.T,ready,120,2026-09-11,2026-09-11,0,0,0
141A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1420.T,ready,120,2026-09-11,2026-09-11,0,0,0
1429.T,ready,120,2026-09-11,2026-09-11,0,0,0
142A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1430.T,ready,120,2026-09-11,2026-09-11,0,0,0
1431.T,ready,120,2026-09-11,2026-09-11,0,0,0
1433.T,ready,120,2026-09-11,2026-09-11,0,0,0
1434.T,ready,120,2026-09-11,2026-09-11,0,0,0
1435.T,ready,120,2026-09-11,2026-09-11,0,0,0
1436.T,ready,120,2026-09-11,2026-09-11,0,0,0
1438.T,zero_volume,120,2026-09-11,2026-09-11,0,0,3
143A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,3
1443.T,ready,120,2026-09-11,2026-09-11,0,0,0
1444.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
1446.T,ready,120,2026-09-11,2026-09-11,0,0,0
1447.T,ready,120,2026-09-11,2026-09-11,0,0,0
1450.T,ready,120,2026-09-11,2026-09-11,0,0,0
145A.T,ready,120,2026-09-11,2026-09-11,0,0,0
146A.T,ready,120,2026-09-11,2026-09-11,0,0,0
147A.T,ready,120,2026-09-11,2026-09-11,0,0,0
148A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
1491.T,ready,120,2026-09-11,2026-09-11,0,0,0
149A.T,ready,120,2026-09-11,2026-09-11,0,0,0
150A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1514.T,ready,120,2026-09-11,2026-09-11,0,0,0
1515.T,ready,120,2026-09-11,2026-09-11,0,0,0
1518.T,ready,120,2026-09-11,2026-09-11,0,0,0
151A.T,ready,120,2026-09-11,2026-09-11,0,0,0
153A.T,ready,120,2026-09-11,2026-09-11,0,0,0
155A.T,ready,120,2026-09-11,2026-09-11,0,0,0
156A.T,ready,120,2026-09-11,2026-09-11,0,0,0
157A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1605.T,ready,120,2026-09-11,2026-09-11,0,0,0
160A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1662.T,ready,120,2026-09-11,2026-09-11,0,0,0
1663.T,ready,120,2026-09-11,2026-09-11,0,0,0
166A.T,ready,120,2026-09-11,2026-09-11,0,0,0
167A.T,ready,120,2026-09-11,2026-09-11,0,0,0
168A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1711.T,ready,120,2026-09-11,2026-09-11,0,0,0
1716.T,ready,120,2026-09-11,2026-09-11,0,0,0
1717.T,ready,120,2026-09-11,2026-09-11,0,0,0
1718.T,zero_volume,120,2026-09-11,2026-09-11,0,0,2
1719.T,ready,120,2026-09-11,2026-09-11,0,0,0
1720.T,ready,120,2026-09-11,2026-09-11,0,0,0
1721.T,ready,120,2026-09-11,2026-09-11,0,0,0
1723.T,ready,120,2026-09-11,2026-09-11,0,0,0
1724.T,ready,120,2026-09-11,2026-09-11,0,0,0
1736.T,ready,120,2026-09-11,2026-09-11,0,0,0
173A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
1758.T,zero_volume,120,2026-09-11,2026-09-11,0,0,5
175A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1762.T,ready,120,2026-09-11,2026-09-11,0,0,0
1764.T,invalid_rows,119,2026-09-11,2026-09-10,1,1,2
1766.T,ready,120,2026-09-11,2026-09-11,0,0,0
1768.T,ready,120,2026-09-11,2026-09-11,0,0,0
1770.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
177A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
1780.T,ready,120,2026-09-11,2026-09-11,0,0,0
1783.T,ready,120,2026-09-11,2026-09-11,0,0,0
1786.T,ready,120,2026-09-11,2026-09-11,0,0,0
1787.T,zero_volume,120,2026-09-11,2026-09-11,0,0,6
1788.T,invalid_rows,119,2026-09-11,2026-09-10,1,1,14
1793.T,ready,120,2026-09-11,2026-09-11,0,0,0
1795.T,zero_volume,120,2026-09-11,2026-09-11,0,0,23
1798.T,ready,120,2026-09-11,2026-09-11,0,0,0
1799.T,ready,120,2026-09-11,2026-09-11,0,0,0
1801.T,ready,120,2026-09-11,2026-09-11,0,0,0
1802.T,ready,120,2026-09-11,2026-09-11,0,0,0
1803.T,ready,120,2026-09-11,2026-09-11,0,0,0
1807.T,zero_volume,120,2026-09-11,2026-09-11,0,0,10
1808.T,ready,120,2026-09-11,2026-09-11,0,0,0
1810.T,ready,120,2026-09-11,2026-09-11,0,0,0
1811.T,zero_volume,120,2026-09-11,2026-09-11,0,0,2
1812.T,ready,120,2026-09-11,2026-09-11,0,0,0
1813.T,ready,120,2026-09-11,2026-09-11,0,0,0
1814.T,ready,120,2026-09-11,2026-09-11,0,0,0
1815.T,ready,120,2026-09-11,2026-09-11,0,0,0
1820.T,ready,120,2026-09-11,2026-09-11,0,0,0
1822.T,ready,120,2026-09-11,2026-09-11,0,0,0
1826.T,ready,120,2026-09-11,2026-09-11,0,0,0
1827.T,ready,120,2026-09-11,2026-09-11,0,0,0
1828.T,ready,120,2026-09-11,2026-09-11,0,0,0
1833.T,ready,120,2026-09-11,2026-09-11,0,0,0
1835.T,ready,120,2026-09-11,2026-09-11,0,0,0
1840.T,ready,120,2026-09-11,2026-09-11,0,0,0
1844.T,ready,120,2026-09-11,2026-09-11,0,0,0
1847.T,ready,120,2026-09-11,2026-09-11,0,0,0
1848.T,ready,120,2026-09-11,2026-09-11,0,0,0
184A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,3
1850.T,ready,120,2026-09-11,2026-09-11,0,0,0
1852.T,ready,120,2026-09-11,2026-09-11,0,0,0
1853.T,ready,120,2026-09-11,2026-09-11,0,0,0
1860.T,ready,120,2026-09-11,2026-09-11,0,0,0
1861.T,ready,120,2026-09-11,2026-09-11,0,0,0
1866.T,ready,120,2026-09-11,2026-09-11,0,0,0
1867.T,ready,120,2026-09-11,2026-09-11,0,0,0
186A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1870.T,ready,120,2026-09-11,2026-09-11,0,0,0
1871.T,ready,120,2026-09-11,2026-09-11,0,0,0
1873.T,ready,120,2026-09-11,2026-09-11,0,0,0
1878.T,ready,120,2026-09-11,2026-09-11,0,0,0
1879.T,ready,120,2026-09-11,2026-09-11,0,0,0
1882.T,ready,120,2026-09-11,2026-09-11,0,0,0
1885.T,ready,120,2026-09-11,2026-09-11,0,0,0
1887.T,ready,120,2026-09-11,2026-09-11,0,0,0
1888.T,ready,120,2026-09-11,2026-09-11,0,0,0
1893.T,ready,120,2026-09-11,2026-09-11,0,0,0
1897.T,zero_volume,120,2026-09-11,2026-09-11,0,0,15
1898.T,ready,120,2026-09-11,2026-09-11,0,0,0
1899.T,ready,120,2026-09-11,2026-09-11,0,0,0
189A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1904.T,ready,120,2026-09-11,2026-09-11,0,0,0
1905.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
1909.T,ready,120,2026-09-11,2026-09-11,0,0,0
190A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1911.T,ready,120,2026-09-11,2026-09-11,0,0,0
1914.T,ready,120,2026-09-11,2026-09-11,0,0,0
1921.T,ready,120,2026-09-11,2026-09-11,0,0,0
1925.T,ready,120,2026-09-11,2026-09-11,0,0,0
1926.T,ready,120,2026-09-11,2026-09-11,0,0,0
1928.T,ready,120,2026-09-11,2026-09-11,0,0,0
1929.T,ready,120,2026-09-11,2026-09-11,0,0,0
192A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1930.T,ready,120,2026-09-11,2026-09-11,0,0,0
1934.T,ready,120,2026-09-11,2026-09-11,0,0,0
1938.T,ready,120,2026-09-11,2026-09-11,0,0,0
1939.T,ready,120,2026-09-11,2026-09-11,0,0,0
1941.T,ready,120,2026-09-11,2026-09-11,0,0,0
1942.T,ready,120,2026-09-11,2026-09-11,0,0,0
1944.T,ready,120,2026-09-11,2026-09-11,0,0,0
1945.T,ready,120,2026-09-11,2026-09-11,0,0,0
1946.T,ready,120,2026-09-11,2026-09-11,0,0,0
1948.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
194A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1950.T,ready,120,2026-09-11,2026-09-11,0,0,0
1951.T,ready,120,2026-09-11,2026-09-11,0,0,0
1952.T,ready,120,2026-09-11,2026-09-11,0,0,0
1959.T,ready,120,2026-09-11,2026-09-11,0,0,0
195A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1960.T,ready,120,2026-09-11,2026-09-11,0,0,0
1961.T,ready,120,2026-09-11,2026-09-11,0,0,0
1963.T,ready,120,2026-09-11,2026-09-11,0,0,0
1964.T,ready,120,2026-09-11,2026-09-11,0,0,0
1965.T,ready,120,2026-09-11,2026-09-11,0,0,0
1966.T,ready,120,2026-09-11,2026-09-11,0,0,0
1967.T,ready,120,2026-09-11,2026-09-11,0,0,0
1968.T,ready,120,2026-09-11,2026-09-11,0,0,0
1969.T,ready,120,2026-09-11,2026-09-11,0,0,0
196A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1972.T,ready,120,2026-09-11,2026-09-11,0,0,0
1975.T,ready,120,2026-09-11,2026-09-11,0,0,0
1976.T,ready,120,2026-09-11,2026-09-11,0,0,0
1979.T,ready,120,2026-09-11,2026-09-11,0,0,0
197A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1980.T,ready,120,2026-09-11,2026-09-11,0,0,0
1981.T,ready,120,2026-09-11,2026-09-11,0,0,0
1982.T,ready,120,2026-09-11,2026-09-11,0,0,0
198A.T,ready,120,2026-09-11,2026-09-11,0,0,0
1992.T,invalid_rows,119,2026-09-11,2026-09-10,1,1,52
1994.T,ready,120,2026-09-11,2026-09-11,0,0,0
1997.T,invalid_rows,119,2026-09-11,2026-09-10,1,1,2
2001.T,ready,120,2026-09-11,2026-09-11,0,0,0
2002.T,ready,120,2026-09-11,2026-09-11,0,0,0
2003.T,ready,120,2026-09-11,2026-09-11,0,0,0
2004.T,ready,120,2026-09-11,2026-09-11,0,0,0
2009.T,ready,120,2026-09-11,2026-09-11,0,0,0
2053.T,ready,120,2026-09-11,2026-09-11,0,0,0
2055.T,ready,120,2026-09-11,2026-09-11,0,0,0
205A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2060.T,ready,120,2026-09-11,2026-09-11,0,0,0
206A.T,ready,120,2026-09-11,2026-09-11,0,0,0
208A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2108.T,ready,120,2026-09-11,2026-09-11,0,0,0
2109.T,ready,120,2026-09-11,2026-09-11,0,0,0
2112.T,ready,120,2026-09-11,2026-09-11,0,0,0
2114.T,ready,120,2026-09-11,2026-09-11,0,0,0
2117.T,ready,120,2026-09-11,2026-09-11,0,0,0
211A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2120.T,ready,120,2026-09-11,2026-09-11,0,0,0
2121.T,ready,120,2026-09-11,2026-09-11,0,0,0
2122.T,ready,120,2026-09-11,2026-09-11,0,0,0
2124.T,ready,120,2026-09-11,2026-09-11,0,0,0
2127.T,ready,120,2026-09-11,2026-09-11,0,0,0
212A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2130.T,ready,120,2026-09-11,2026-09-11,0,0,0
2134.T,ready,120,2026-09-11,2026-09-11,0,0,0
2136.T,zero_volume,120,2026-09-11,2026-09-11,0,0,2
2138.T,ready,120,2026-09-11,2026-09-11,0,0,0
2139.T,ready,120,2026-09-11,2026-09-11,0,0,0
2146.T,ready,120,2026-09-11,2026-09-11,0,0,0
2148.T,ready,120,2026-09-11,2026-09-11,0,0,0
2152.T,zero_volume,120,2026-09-11,2026-09-11,0,0,19
2153.T,ready,120,2026-09-11,2026-09-11,0,0,0
2154.T,ready,120,2026-09-11,2026-09-11,0,0,0
2156.T,ready,120,2026-09-11,2026-09-11,0,0,0
2157.T,ready,120,2026-09-11,2026-09-11,0,0,0
2158.T,ready,120,2026-09-11,2026-09-11,0,0,0
215A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2160.T,ready,120,2026-09-11,2026-09-11,0,0,0
2163.T,ready,120,2026-09-11,2026-09-11,0,0,0
2164.T,ready,120,2026-09-11,2026-09-11,0,0,0
2168.T,ready,120,2026-09-11,2026-09-11,0,0,0
2169.T,ready,120,2026-09-11,2026-09-11,0,0,0
2170.T,ready,120,2026-09-11,2026-09-11,0,0,0
2173.T,ready,120,2026-09-11,2026-09-11,0,0,0
2175.T,ready,120,2026-09-11,2026-09-11,0,0,0
2179.T,ready,120,2026-09-11,2026-09-11,0,0,0
2180.T,ready,120,2026-09-11,2026-09-11,0,0,0
2181.T,ready,120,2026-09-11,2026-09-11,0,0,0
2183.T,ready,120,2026-09-11,2026-09-11,0,0,0
2185.T,ready,120,2026-09-11,2026-09-11,0,0,0
2186.T,ready,120,2026-09-11,2026-09-11,0,0,0
218A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2193.T,ready,120,2026-09-11,2026-09-11,0,0,0
2195.T,ready,120,2026-09-11,2026-09-11,0,0,0
2198.T,ready,120,2026-09-11,2026-09-11,0,0,0
219A.T,ready,120,2026-09-11,2026-09-11,0,0,0
2201.T,ready,120,2026-09-11,2026-09-11,0,0,0
2204.T,ready,120,2026-09-11,2026-09-11,0,0,0
2206.T,ready,120,2026-09-11,2026-09-11,0,0,0
2207.T,ready,120,2026-09-11,2026-09-11,0,0,0
2208.T,ready,120,2026-09-11,2026-09-11,0,0,0
2209.T,ready,120,2026-09-11,2026-09-11,0,0,0
220A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,5
2211.T,ready,120,2026-09-11,2026-09-11,0,0,0
2212.T,ready,120,2026-09-11,2026-09-11,0,0,0
2215.T,ready,120,2026-09-11,2026-09-11,0,0,0
2216.T,ready,120,2026-09-11,2026-09-11,0,0,0
2217.T,ready,120,2026-09-11,2026-09-11,0,0,0
2220.T,ready,120,2026-09-11,2026-09-11,0,0,0
2221.T,ready,120,2026-09-11,2026-09-11,0,0,0
2222.T,ready,120,2026-09-11,2026-09-11,0,0,0
2224.T,zero_volume,120,2026-09-11,2026-09-11,0,0,1
2226.T,ready,120,2026-09-11,2026-09-11,0,0,0
2229.T,ready,120,2026-09-11,2026-09-11,0,0,0
2264.T,ready,120,2026-09-11,2026-09-11,0,0,0
2266.T,ready,120,2026-09-11,2026-09-11,0,0,0
2267.T,ready,120,2026-09-11,2026-09-11,0,0,0
2268.T,ready,120,2026-09-11,2026-09-11,0,0,0
2269.T,ready,120,2026-09-11,2026-09-11,0,0,0
2270.T,ready,120,2026-09-11,2026-09-11,0,0,0
2281.T,ready,120,2026-09-11,2026-09-11,0,0,0
2282.T,ready,120,2026-09-11,2026-09-11,0,0,0
2286.T,ready,120,2026-09-11,2026-09-11,0,0,0
2288.T,ready,120,2026-09-11,2026-09-11,0,0,0
228A.T,zero_volume,120,2026-09-11,2026-09-11,0,0,2
2291.T,ready,120,2026-09-11,2026-09-11,0,0,0
2292.T,ready,120,2026-09-11,2026-09-11,0,0,0
