date,ticker,open,high,low,close,volume,adj_close,adj_open,adj_high,adj_low,dividends,stock_splits
2026-03-19,7412.T,646.0,647.0,640.0,645.0,680100,645.0,646.0,647.0,640.0,0.0,0.0
2026-03-23,7412.T,640.0,643.0,633.0,637.0,432900,637.0,640.0,643.0,633.0,0.0,0.0
2026-03-24,7412.T,641.0,643.0,636.0,637.0,339900,637.0,641.0,643.0,636.0,0.0,0.0
2026-03-25,7412.T,637.0,640.0,620.0,621.0,759900,621.0,637.0,640.0,620.0,0.0,0.0
2026-03-26,7412.T,625.0,630.0,605.0,610.0,971900,610.0,625.0,630.0,605.0,0.0,0.0
2026-03-27,7412.T,620.0,625.0,607.0,613.0,1813500,613.0,620.0,625.0,607.0,0.0,0.0
2026-03-30,7412.T,593.0,631.0,588.0,631.0,1451500,631.0,593.0,631.0,588.0,0.0,0.0
2026-03-31,7412.T,632.0,635.0,606.0,610.0,845800,610.0,632.0,635.0,606.0,0.0,0.0
2026-04-01,7412.T,610.0,627.0,610.0,626.0,577200,626.0,610.0,627.0,610.0,0.0,0.0
2026-04-02,7412.T,636.0,658.0,629.0,638.0,1091900,638.0,636.0,658.0,629.0,0.0,0.0
2026-04-03,7412.T,637.0,640.0,627.0,640.0,329700,640.0,637.0,640.0,627.0,0.0,0.0
2026-04-06,7412.T,640.0,641.0,631.0,634.0,283500,634.0,640.0,641.0,631.0,0.0,0.0
2026-04-07,7412.T,635.0,642.0,634.0,636.0,231500,636.0,635.0,642.0,634.0,0.0,0.0
2026-04-08,7412.T,636.0,652.0,635.0,652.0,515100,652.0,636.0,652.0,635.0,0.0,0.0
2026-04-09,7412.T,655.0,669.0,650.0,650.0,716600,650.0,655.0,669.0,650.0,0.0,0.0
2026-04-10,7412.T,651.0,655.0,641.0,645.0,453600,645.0,651.0,655.0,641.0,0.0,0.0
2026-04-13,7412.T,641.0,647.0,635.0,635.0,234100,635.0,641.0,647.0,635.0,0.0,0.0
2026-04-14,7412.T,635.0,643.0,628.0,631.0,310100,631.0,635.0,643.0,628.0,0.0,0.0
2026-04-15,7412.T,639.0,644.0,634.0,642.0,263700,642.0,639.0,644.0,634.0,0.0,0.0
2026-04-16,7412.T,643.0,648.0,636.0,642.0,227400,642.0,643.0,648.0,636.0,0.0,0.0
2026-04-17,7412.T,652.0,656.0,644.0,647.0,240900,647.0,652.0,656.0,644.0,0.0,0.0
2026-04-20,7412.T,650.0,657.0,645.0,654.0,411900,654.0,650.0,657.0,645.0,0.0,0.0
2026-04-21,7412.T,654.0,668.0,654.0,668.0,528100,668.0,654.0,668.0,654.0,0.0,0.0
2026-04-22,7412.T,665.0,670.0,662.0,666.0,345500,666.0,665.0,670.0,662.0,0.0,0.0
2026-04-23,7412.T,662.0,665.0,656.0,662.0,283800,662.0,662.0,665.0,656.0,0.0,0.0
2026-04-24,7412.T,656.0,667.0,656.0,662.0,300400,662.0,656.0,667.0,656.0,0.0,0.0
2026-04-27,7412.T,662.0,667.0,656.0,658.0,331500,658.0,662.0,667.0,656.0,0.0,0.0
2026-04-28,7412.T,658.0,670.0,654.0,668.0,346900,668.0,658.0,670.0,654.0,0.0,0.0
2026-04-30,7412.T,668.0,670.0,655.0,656.0,314200,656.0,668.0,670.0,655.0,0.0,0.0
2026-05-01,7412.T,658.0,659.0,652.0,655.0,201400,655.0,658.0,659.0,652.0,0.0,0.0
2026-05-07,7412.T,665.0,670.0,658.0,661.0,433900,661.0,665.0,670.0,658.0,0.0,0.0
2026-05-08,7412.T,659.0,660.0,604.0,604.0,875400,604.0,659.0,660.0,604.0,0.0,0.0
2026-05-11,7412.T,634.0,674.0,634.0,672.0,1219900,672.0,634.0,674.0,634.0,0.0,0.0
2026-05-12,7412.T,670.0,692.0,666.0,685.0,841300,685.0,670.0,692.0,666.0,0.0,0.0
2026-05-13,7412.T,684.0,700.0,680.0,691.0,593600,691.0,684.0,700.0,680.0,0.0,0.0
