stock_code,ticker,company_name,sector17,sector33
1301,1301.T,極洋,食品,水産・農林業
130A,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,医薬品
1332,1332.T,ニッスイ,食品,水産・農林業
1333,1333.T,Ｕｍｉｏｓ,食品,水産・農林業
135A,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報通信・サービスその他,情報・通信業
1375,1375.T,ユキグニファクトリー,食品,水産・農林業
1376,1376.T,カネコ種苗,食品,水産・農林業
1377,1377.T,サカタのタネ,食品,水産・農林業
1379,1379.T,ホクト,食品,水産・農林業
137A,137A.T,Ｃｏｃｏｌｉｖｅ,情報通信・サービスその他,情報・通信業
1380,1380.T,秋川牧園,食品,水産・農林業
1381,1381.T,アクシーズ,食品,水産・農林業
1382,1382.T,ホーブ,食品,水産・農林業
1383,1383.T,ベルグアース,食品,水産・農林業
1384,1384.T,ホクリヨウ,食品,水産・農林業
138A,138A.T,光フードサービス,小売,小売業
1401,1401.T,エムビーエス,建設・資材,建設業
1407,1407.T,ウエストホールディングス,建設・資材,建設業
1414,1414.T,ショーボンドホールディングス,建設・資材,建設業
1417,1417.T,ミライト・ワン,建設・資材,建設業
1418,1418.T,インターライフホールディングス,建設・資材,建設業
1419,1419.T,タマホーム,建設・資材,建設業
141A,141A.T,トライアルホールディングス,小売,小売業
1420,1420.T,サンヨーホームズ,建設・資材,建設業
1429,1429.T,日本アクア,建設・資材,建設業
142A,142A.T,ジンジブ,情報通信・サービスその他,サービス業
1430,1430.T,ファーストコーポレーション,建設・資材,建設業
1431,1431.T,Ｌｉｂ　Ｗｏｒｋ,建設・資材,建設業
1433,1433.T,ベステラ,建設・資材,建設業
1434,1434.T,ＪＥＳＣＯホールディングス,建設・資材,建設業
1435,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,不動産,不動産業
1436,1436.T,グリーンエナジー＆カンパニー,建設・資材,建設業
1438,1438.T,岐阜造園,建設・資材,建設業
143A,143A.T,イシン,情報通信・サービスその他,サービス業
1443,1443.T,技研ホールディングス,建設・資材,建設業
1444,1444.T,ニッソウ,建設・資材,建設業
1446,1446.T,キャンディル,建設・資材,建設業
1447,1447.T,ＳＡＡＦホールディングス,建設・資材,建設業
1450,1450.T,ＴＡＮＡＫＥＮ,建設・資材,建設業
145A,145A.T,Ｌ　ｉｓ　Ｂ,情報通信・サービスその他,情報・通信業
146A,146A.T,コロンビア・ワークス,不動産,不動産業
147A,147A.T,ソラコム,情報通信・サービスその他,情報・通信業
148A,148A.T,ハッチ・ワーク,情報通信・サービスその他,情報・通信業
1491,1491.T,中外鉱業,鉄鋼・非鉄,非鉄金属
149A,149A.T,シンカ,情報通信・サービスその他,情報・通信業
150A,150A.T,ＪＳＨ,情報通信・サービスその他,サービス業
1514,1514.T,住石ホールディングス,エネルギー資源,鉱業
1515,1515.T,日鉄鉱業,エネルギー資源,鉱業
1518,1518.T,三井松島ホールディングス,情報通信・サービスその他,その他製品
151A,151A.T,ダイブグループ,情報通信・サービスその他,サービス業
153A,153A.T,カウリス,情報通信・サービスその他,情報・通信業
155A,155A.T,情報戦略テクノロジー,情報通信・サービスその他,情報・通信業
156A,156A.T,マテリアルグループ,情報通信・サービスその他,サービス業
157A,157A.T,グリーンモンスター,情報通信・サービスその他,サービス業
1605,1605.T,ＩＮＰＥＸ,エネルギー資源,鉱業
160A,160A.T,アズパートナーズ,情報通信・サービスその他,サービス業
1662,1662.T,石油資源開発,エネルギー資源,鉱業
1663,1663.T,Ｋ＆Ｏエナジーグループ,エネルギー資源,鉱業
166A,166A.T,タスキホールディングス,不動産,不動産業
167A,167A.T,リョーサン菱洋ホールディングス,商社・卸売,卸売業
168A,168A.T,イタミアート,情報通信・サービスその他,その他製品
1711,1711.T,ＳＤＳホールディングス,建設・資材,建設業
1716,1716.T,第一カッター興業,建設・資材,建設業
1717,1717.T,明豊ファシリティワークス,情報通信・サービスその他,サービス業
1718,1718.T,美樹工業,建設・資材,建設業
1719,1719.T,安藤・間,建設・資材,建設業
1720,1720.T,東急建設,建設・資材,建設業
1721,1721.T,コムシスホールディングス,建設・資材,建設業
1723,1723.T,日本電技,建設・資材,建設業
1724,1724.T,シンクレイヤ,建設・資材,建設業
1736,1736.T,オーテック,建設・資材,建設業
173A,173A.T,ハンモック,情報通信・サービスその他,情報・通信業
1758,1758.T,太洋基礎工業,建設・資材,建設業
175A,175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,情報通信・サービスその他,情報・通信業
1762,1762.T,高松コンストラクショングループ,建設・資材,建設業
1764,1764.T,工藤建設,建設・資材,建設業
1766,1766.T,東建コーポレーション,建設・資材,建設業
1768,1768.T,ソネック,建設・資材,建設業
1770,1770.T,藤田エンジニアリング,建設・資材,建設業
177A,177A.T,コージンバイオ,素材・化学,化学
1780,1780.T,ヤマウラ,建設・資材,建設業
1783,1783.T,ｆａｎｔａｓｉｓｔａ,不動産,不動産業
1786,1786.T,オリエンタル白石,建設・資材,建設業
1787,1787.T,ナカボーテック,建設・資材,建設業
1788,1788.T,三東工業社,建設・資材,建設業
1793,1793.T,大本組,建設・資材,建設業
1795,1795.T,マサル,建設・資材,建設業
1798,1798.T,守谷商会,建設・資材,建設業
1799,1799.T,第一建設工業,建設・資材,建設業
1801,1801.T,大成建設,建設・資材,建設業
1802,1802.T,大林組,建設・資材,建設業
1803,1803.T,清水建設,建設・資材,建設業
1807,1807.T,佐藤渡辺,建設・資材,建設業
1808,1808.T,長谷工コーポレーション,建設・資材,建設業
1810,1810.T,松井建設,建設・資材,建設業
1811,1811.T,錢高組,建設・資材,建設業
1812,1812.T,鹿島建設,建設・資材,建設業
1813,1813.T,不動テトラ,建設・資材,建設業
1814,1814.T,大末建設,建設・資材,建設業
1815,1815.T,鉄建建設,建設・資材,建設業
1820,1820.T,西松建設,建設・資材,建設業
1822,1822.T,大豊建設,建設・資材,建設業
1826,1826.T,佐田建設,建設・資材,建設業
1827,1827.T,ナカノフドー建設,建設・資材,建設業
1828,1828.T,田辺工業,建設・資材,建設業
1833,1833.T,奥村組,建設・資材,建設業
1835,1835.T,東鉄工業,建設・資材,建設業
1840,1840.T,土屋ホールディングス,建設・資材,建設業
1844,1844.T,大盛工業,建設・資材,建設業
1847,1847.T,イチケン,建設・資材,建設業
1848,1848.T,富士ピー・エス,建設・資材,建設業
184A,184A.T,学びエイド,情報通信・サービスその他,情報・通信業
1850,1850.T,南海辰村建設,建設・資材,建設業
1852,1852.T,淺沼組,建設・資材,建設業
1853,1853.T,森組,建設・資材,建設業
1860,1860.T,戸田建設,建設・資材,建設業
1861,1861.T,熊谷組,建設・資材,建設業
1866,1866.T,北野建設,建設・資材,建設業
1867,1867.T,植木組,建設・資材,建設業
186A,186A.T,アストロスケールホールディングス,情報通信・サービスその他,サービス業
1870,1870.T,矢作建設工業,建設・資材,建設業
1871,1871.T,ピーエス・コンストラクション,建設・資材,建設業
1873,1873.T,日本ハウスホールディングス,建設・資材,建設業
1878,1878.T,大東建託,不動産,不動産業
1879,1879.T,新日本建設,建設・資材,建設業
1882,1882.T,東亜道路工業,建設・資材,建設業
1885,1885.T,東亜建設工業,建設・資材,建設業
1887,1887.T,日本国土開発,建設・資材,建設業
1888,1888.T,若築建設,建設・資材,建設業
1893,1893.T,五洋建設,建設・資材,建設業
1897,1897.T,金下建設,建設・資材,建設業
1898,1898.T,世紀東急工業,建設・資材,建設業
1899,1899.T,福田組,建設・資材,建設業
189A,189A.T,Ｄ＆Ｍカンパニー,情報通信・サービスその他,サービス業
1904,1904.T,大成温調,建設・資材,建設業
1905,1905.T,テノックス,建設・資材,建設業
1909,1909.T,日本ドライケミカル,機械,機械
190A,190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,医薬品
1911,1911.T,住友林業,建設・資材,建設業
1914,1914.T,日本基礎技術,建設・資材,建設業
1921,1921.T,巴コーポレーション,建設・資材,建設業
1925,1925.T,大和ハウス工業,建設・資材,建設業
1926,1926.T,ライト工業,建設・資材,建設業
1928,1928.T,積水ハウス,建設・資材,建設業
1929,1929.T,日特建設,建設・資材,建設業
192A,192A.T,インテグループ,情報通信・サービスその他,サービス業
1930,1930.T,北陸電気工事,建設・資材,建設業
1934,1934.T,ユアテック,建設・資材,建設業
1938,1938.T,日本リーテック,建設・資材,建設業
1939,1939.T,四電工,建設・資材,建設業
1941,1941.T,中電工,建設・資材,建設業
1942,1942.T,関電工,建設・資材,建設業
1944,1944.T,きんでん,建設・資材,建設業
1945,1945.T,東京エネシス,建設・資材,建設業
1946,1946.T,トーエネック,建設・資材,建設業
1948,1948.T,弘電社,建設・資材,建設業
194A,194A.T,ＷＯＬＶＥＳ　ＨＡＮＤ,情報通信・サービスその他,サービス業
1950,1950.T,日本電設工業,建設・資材,建設業
1951,1951.T,エクシオグループ,建設・資材,建設業
1952,1952.T,新日本空調,建設・資材,建設業
1959,1959.T,クラフティア,建設・資材,建設業
195A,195A.T,ＭＵＳＣＡＴ　ＧＲＯＵＰ,情報通信・サービスその他,サービス業
1960,1960.T,サンテック,建設・資材,建設業
1961,1961.T,三機工業,建設・資材,建設業
1963,1963.T,日揮ホールディングス,建設・資材,建設業
1964,1964.T,中外炉工業,建設・資材,建設業
1965,1965.T,テクノ菱和,建設・資材,建設業
1966,1966.T,高田工業所,建設・資材,建設業
1967,1967.T,ヤマト,建設・資材,建設業
1968,1968.T,太平電業,建設・資材,建設業
1969,1969.T,高砂熱学工業,建設・資材,建設業
196A,196A.T,ＭＦＳ,金融（除く銀行）,その他金融業
1972,1972.T,三晃金属工業,建設・資材,建設業
1975,1975.T,朝日工業社,建設・資材,建設業
1976,1976.T,明星工業,建設・資材,建設業
1979,1979.T,大氣社,建設・資材,建設業
197A,197A.T,タウンズ,医薬品,医薬品
1980,1980.T,ダイダン,建設・資材,建設業
1981,1981.T,協和日成,建設・資材,建設業
1982,1982.T,日比谷総合設備,建設・資材,建設業
198A,198A.T,ＰｏｓｔＰｒｉｍｅ,情報通信・サービスその他,情報・通信業
1992,1992.T,神田通信機,建設・資材,建設業
1994,1994.T,高橋カーテンウォール工業,建設・資材,建設業
1997,1997.T,暁飯島工業,建設・資材,建設業
2001,2001.T,ニップン,食品,食料品
2002,2002.T,日清製粉グループ本社,食品,食料品
2003,2003.T,日東富士製粉,食品,食料品
2004,2004.T,昭和産業,食品,食料品
2009,2009.T,鳥越製粉,食品,食料品
2053,2053.T,中部飼料,食品,食料品
2055,2055.T,日和産業,食品,食料品
205A,205A.T,ロゴスホールディングス,建設・資材,建設業
2060,2060.T,フィード・ワン,食品,食料品
206A,206A.T,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品,医薬品
208A,208A.T,構造計画研究所ホールディングス,情報通信・サービスその他,情報・通信業
2108,2108.T,日本甜菜製糖,食品,食料品
2109,2109.T,ＤＭ三井製糖,食品,食料品
2112,2112.T,塩水港精糖,食品,食料品
2114,2114.T,フジ日本,食品,食料品
2117,2117.T,ウェルネオシュガー,食品,食料品
211A,211A.T,カドス・コーポレーション,建設・資材,建設業
2120,2120.T,ＬＩＦＵＬＬ,情報通信・サービスその他,サービス業
2121,2121.T,ＭＩＸＩ,情報通信・サービスその他,情報・通信業
2122,2122.T,インタースペース,情報通信・サービスその他,サービス業
2124,2124.T,ジェイエイシーリクルートメント,情報通信・サービスその他,サービス業
2127,2127.T,日本Ｍ＆Ａセンターホールディングス,情報通信・サービスその他,サービス業
212A,212A.T,フィットイージー,情報通信・サービスその他,サービス業
2130,2130.T,メンバーズ,情報通信・サービスその他,サービス業
2134,2134.T,北浜キャピタルパートナーズ,情報通信・サービスその他,サービス業
2136,2136.T,ヒップ,情報通信・サービスその他,サービス業
2138,2138.T,クルーズ,情報通信・サービスその他,情報・通信業
2139,2139.T,中広,情報通信・サービスその他,サービス業
2146,2146.T,ＵＴグループ,情報通信・サービスその他,サービス業
2148,2148.T,アイティメディア,情報通信・サービスその他,サービス業
2152,2152.T,幼児活動研究会,情報通信・サービスその他,サービス業
2153,2153.T,Ｅ・Ｊホールディングス,情報通信・サービスその他,サービス業
2154,2154.T,オープンアップグループ,情報通信・サービスその他,サービス業
2156,2156.T,セーラー広告,情報通信・サービスその他,サービス業
2157,2157.T,コシダカホールディングス,情報通信・サービスその他,サービス業
2158,2158.T,ＦＲＯＮＴＥＯ,情報通信・サービスその他,サービス業
215A,215A.T,タイミー,情報通信・サービスその他,サービス業
2160,2160.T,ジーエヌアイグループ,医薬品,医薬品
2163,2163.T,アルトナー,情報通信・サービスその他,サービス業
2164,2164.T,地域新聞社,情報通信・サービスその他,サービス業
2168,2168.T,パソナグループ,情報通信・サービスその他,サービス業
2169,2169.T,ＣＤＳ,情報通信・サービスその他,サービス業
2170,2170.T,リンクアンドモチベーション,情報通信・サービスその他,サービス業
2173,2173.T,博展,情報通信・サービスその他,サービス業
2175,2175.T,エス・エム・エス,情報通信・サービスその他,サービス業
2179,2179.T,成学社,情報通信・サービスその他,サービス業
2180,2180.T,サニーサイドアップグループ,情報通信・サービスその他,サービス業
2181,2181.T,パーソルホールディングス,情報通信・サービスその他,サービス業
2183,2183.T,リニカル,情報通信・サービスその他,サービス業
2185,2185.T,シイエム・シイ,情報通信・サービスその他,サービス業
2186,2186.T,ソーバル,情報通信・サービスその他,サービス業
218A,218A.T,Ｌｉｂｅｒａｗａｒｅ,電機・精密,精密機器
2193,2193.T,クックパッド,情報通信・サービスその他,サービス業
2195,2195.T,アミタホールディングス,情報通信・サービスその他,サービス業
2198,2198.T,アイ・ケイ・ケイホールディングス,情報通信・サービスその他,サービス業
219A,219A.T,Ｈｅａｒｔｓｅｅｄ,医薬品,医薬品
2201,2201.T,森永製菓,食品,食料品
2204,2204.T,中村屋,食品,食料品
2206,2206.T,江崎グリコ,食品,食料品
2207,2207.T,ｍｅｉｔｏ,食品,食料品
2208,2208.T,ブルボン,食品,食料品
2209,2209.T,井村屋グループ,食品,食料品
220A,220A.T,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報通信・サービスその他,情報・通信業
2211,2211.T,不二家,食品,食料品
2212,2212.T,山崎製パン,食品,食料品
2215,2215.T,第一屋製パン,食品,食料品
2216,2216.T,カンロ,食品,食料品
2217,2217.T,モロゾフ,食品,食料品
2220,2220.T,亀田製菓,食品,食料品
2221,2221.T,岩塚製菓,食品,食料品
2222,2222.T,寿スピリッツ,食品,食料品
2224,2224.T,コモ,食品,食料品
2226,2226.T,湖池屋,食品,食料品
2229,2229.T,カルビー,食品,食料品
2264,2264.T,森永乳業,食品,食料品
2266,2266.T,六甲バター,食品,食料品
2267,2267.T,ヤクルト本社,食品,食料品
2268,2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食品,食料品
2269,2269.T,明治ホールディングス,食品,食料品
2270,2270.T,雪印メグミルク,食品,食料品
2281,2281.T,プリマハム,食品,食料品
2282,2282.T,日本ハム,食品,食料品
2286,2286.T,林兼産業,食品,食料品
2288,2288.T,丸大食品,食品,食料品
228A,228A.T,オプロ,情報通信・サービスその他,情報・通信業
2291,2291.T,福留ハム,食品,食料品
2292,2292.T,Ｓ　Ｆｏｏｄｓ,食品,食料品
2293,2293.T,滝沢ハム,食品,食料品
2294,2294.T,柿安本店,食品,食料品
2296,2296.T,伊藤ハム米久ホールディングス,食品,食料品
2300,2300.T,きょくとう,情報通信・サービスその他,サービス業
2301,2301.T,学情,情報通信・サービスその他,サービス業
2303,2303.T,ドーン,情報通信・サービスその他,情報・通信業
2304,2304.T,ＣＳＳホールディングス,情報通信・サービスその他,サービス業
2305,2305.T,スタジオアリス,情報通信・サービスその他,サービス業
2307,2307.T,クロスキャット,情報通信・サービスその他,情報・通信業
2311,2311.T,エプコ,情報通信・サービスその他,サービス業
2315,2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,情報通信・サービスその他,情報・通信業
2317,2317.T,システナ,情報通信・サービスその他,情報・通信業
2321,2321.T,ソフトフロントホールディングス,情報通信・サービスその他,情報・通信業
2323,2323.T,ｆｏｎｆｕｎ,情報通信・サービスその他,情報・通信業
2325,2325.T,ＮＪＳ,情報通信・サービスその他,サービス業
2326,2326.T,デジタルアーツ,情報通信・サービスその他,情報・通信業
